Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;12/2020;1.896.790.404;711.440.610;1.749.125.708;1.318.396.936;147.664.696;11.041.969;151.047.756;14,50%;24,00%;2.912;872
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;12/2020;1.712.544.711;681.743.511;1.595.603.928;1.331.332.390;116.940.783;6.337.804;161.924.480;21,14%;14,12%;4.381;743
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;12/2020;1.449.672.382;790.181.478;1.388.761.300;1.198.212.897;60.911.081;7.076.024;101.855.830;17,62%;12,06%;3.374;788
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;12/2020;1.346.747.228;509.308.886;1.203.037.229;999.757.427;143.709.998;9.668.195;135.723.674;15,81%;30,07%;3.426;1.499
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;12/2020;999.160.953;411.576.249;918.160.451;682.648.096;81.000.503;7.760.625;84.125.976;15,25%;15,03%;2.792;1.855
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;12/2020;778.341.975;300.619.138;665.339.458;273.613.617;113.002.516;15.719.772;194.493.120;41,19%;5,31%;5;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;12/2020;240.809.392;50.136.707;214.124.015;166.499.872;26.685.377;2.231.106;26.132.890;16,66%;49,80%;27;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;12/2020;218.354.211;91.491.199;204.676.301;177.299.384;13.677.911;1.112.200;19.210.047;14,60%;35,13%;120;5
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;12/2020;116.638.393;59.187.623;106.036.169;85.734.596;10.602.224;611.999;10.610.530;14,64%;18,70%;8;33
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;12/2020;104.015.487;23.013.802;93.712.727;57.217.731;10.302.760;776.256;10.082.135;17,66%;1,79%;89;8
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;12/2020;97.775.044;3.880.120;91.826.127;65.537.509;5.948.918;399.929;5.833.266;15,45%;1,50%;10;0
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;12/2020;91.875.098;37.605.804;83.529.177;71.176.504;8.345.921;350.178;6.821.228;15,81%;9,73%;523;131
CIELO IP - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;12/2020;90.015.589;45.822;77.409.877;6.880.862;12.605.712;486.962;NA;NA%;NA%;1;0
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;12/2020;76.221.523;12.727.217;74.184.833;66.035.256;2.036.690;69.672;1.995.062;14,02%;11,37%;8;0
