Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;06/2022;31.051.737;539.505.637;408.337.339;728.967.621;-41.497.147;687.470.474;59.348;392.712;138.874;-2.448;588.487;256.456.780;114.454.307;37.457.168;2.075.321.929;138.874;2.075.183.055
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;06/2022;33.728.866;235.370.005;547.304.265;731.819.105;-43.447.484;688.371.621;7.649.037;280.041;129.296;-172.193;7.886.181;327.054.441;172.924.803;50.085.105;2.062.725.288;129.296;2.062.595.992
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;06/2022;12.437.726;131.931.512;248.837.162;917.118.127;-41.995.194;875.122.934;0;0;0;0;0;99.037.817;107.506.985;15.477.659;1.490.351.795;0;1.490.351.795
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;06/2022;23.853.047;103.396.122;405.558.936;528.298.898;-46.249.080;482.049.818;28.880;5.189.087;1.856.130;-50.000;7.024.097;273.037.079;105.984.149;62.646.619;1.463.549.867;1.856.130;1.461.693.737
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;06/2022;10.222.560;63.107.419;238.630.577;390.520.248;-29.280.514;361.239.734;3.677;5.075.872;2.370.211;-25.337;7.424.423;192.815.579;119.206.039;22.420.735;1.015.067.067;2.370.211;1.012.696.856
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;06/2022;139.779;56.665.789;200.652.144;303.467.454;-14.199.984;289.267.471;0;0;0;0;0;24.798.740;160.083.694;2.082.002;733.689.619;0;733.689.619
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;06/2022;2.308.990;53.736.132;153.250.563;102.130.961;-3.656.902;98.474.059;0;0;0;0;0;101.708.582;17.888.799;17.091.908;444.459.033;0;444.459.033
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;06/2022;2.131.002;11.883.491;68.996.622;94.774.288;-4.335.183;90.439.105;12.379;1.514.070;499.957;-8.838;2.017.567;30.209.367;29.626.108;7.863.715;243.166.977;499.957;242.667.019
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;06/2022;5.919.085;23.713.274;56.038.956;12.747.931;-88.988;12.658.943;-98;17.171;674;-980;16.767;44.922.659;8.877.294;476.481;152.623.459;674;152.622.786
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;06/2022;483.866;24.574.305;23.743.399;17.930.638;-12.059;17.918.579;0;0;0;0;0;7.598.151;48.064.757;92.165;122.475.222;0;122.475.222
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;06/2022;188.062;6.516.307;38.126.104;57.835.612;-4.430.507;53.405.105;-205;47.871;3.735;-201;51.200;17.711.117;2.798.678;2.371.960;121.168.533;3.735;121.164.798
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;06/2022;1.416.257;5.285.701;80.441.835;12.922.109;-13.096;12.909.013;0;0;0;0;0;15.383.600;3.821.794;606.171;119.864.368;0;119.864.368
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;06/2022;1.134.139;6.690.625;38.938.796;41.301.924;-2.431.411;38.870.513;24;38.745;26.286;-4.348;60.706;8.658.482;13.773.722;1.558.355;109.685.339;26.286;109.659.053
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;C;2;SAO PAULO;SP;06/2022;307.564;10.332.738;37.854.696;15.949.511;-2.060.264;13.889.246;0;0;0;0;0;29.996.901;14.738.494;1.695.493;108.815.132;0;108.815.132
CIELO IP - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;06/2022;19.030;12.185;2.127.173;89.040;-32.058;56.982;0;0;0;0;0;4.573.987;85.664.190;10.386.290;102.839.838;0;102.839.838
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;06/2022;271.502;33.612.143;34.279.285;2.681.818;-44.188;2.637.630;0;0;0;0;0;17.501.819;1.034.203;81.521;89.418.104;0;89.418.104
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;06/2022;35.232;12.293.868;26.150.444;9.527.650;-162.612;9.365.038;0;0;0;0;0;9.427.159;29.030.487;290.749;86.592.977;0;86.592.977
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;06/2022;161.857;3.893.192;22.311.118;10.714.956;-569.448;10.145.509;0;0;0;0;0;35.967.435;227.140;141.200;72.847.452;0;72.847.452
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;06/2022;495.088;4.570.262;11.294.160;28.831.878;-1.478.344;27.353.534;74.084;2.322.461;341.138;-19.631;2.718.052;18.397.241;404.294;1.071.668;66.304.299;341.138;65.963.161
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;06/2022;151.484;11.964.837;34.042.985;13.654.380;-1.003.732;12.650.648;0;0;0;0;0;5.001.960;916.423;277.504;65.005.841;0;65.005.841
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;06/2022;553.937;3.878.663;16.544.251;19.734.765;-336.463;19.398.302;0;0;0;0;0;8.556.014;382.235;146.455;49.459.857;0;49.459.857
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;06/2022;238.888;5.953.351;6.929.127;23.608.536;-827.322;22.781.215;0;0;0;0;0;13.051.479;71.007;40.304;49.065.370;0;49.065.370
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;06/2022;147.422;17.991.542;15.486.324;1.085.293;-2.541;1.082.752;0;0;0;0;0;10.378.834;557.487;47.319;45.691.680;0;45.691.680
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;06/2022;25.963;7.392.585;4.778.995;449.597;-30.614;418.983;0;0;0;0;0;30.854.131;3.528;18.284;43.492.470;0;43.492.470
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;06/2022;3.497.639;10.899.539;13.062.181;10.104.889;-45.163;10.059.725;0;0;0;0;0;5.207.479;5.250;255.450;42.987.262;0;42.987.262
INTER - PRUDENCIAL;1000080996;b1;S3;C;2;BELO HORIZONTE;MG;06/2022;569.468;2.202.739;12.602.197;12.695.185;-654.848;12.040.338;0;0;0;0;0;8.249.532;3.372.318;1.560.055;40.596.646;0;40.596.646
