Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;12/2021;56.999.275;421.137;22.088.942;6.770.819;3.118.426;2.564.561;91.963.159;-36.110.674;-20.983.379;-43.514;0;-11.903.316;-69.040.882;22.922.277;15.864.409;6.025.580;-9.638.797;-13.436.040;-3.399.439;3.793.491;21.012.925;-21.053.841;-831.712;22.090.565;556.473;22.647.037;-4.689.946;-4.016.336;13.940.755;0
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;12/2021;48.416.052;61.085;30.851.237;1.787.191;640.970;1.436.689;83.193.225;-41.086.732;-14.307.005;-41.256;0;-11.068.630;-66.503.623;16.689.602;8.728.322;4.396.683;-10.962.291;-6.228.095;-2.069.539;3.659.261;7.664.121;-8.047.629;-2.859.166;13.830.436;-17.490;13.812.946;-2.565.982;-1.277.969;9.968.995;0
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;12/2021;41.420.281;761.451;16.833.291;-971.141;3.939.088;2.167.506;64.150.476;-28.425.048;-8.982.618;-611.674;0;-7.994.923;-46.014.263;18.136.213;8.543.138;5.611.753;-9.510.143;-10.645.301;-2.616.848;6.548.183;4.174.713;-10.211.245;-8.105.749;10.030.464;-164.940;9.865.524;-36.607;0;9.828.916;0
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;12/2021;38.230.573;0;9.898.421;4.733.957;228.743;2.693.780;55.785.473;-20.322.535;-10.342.089;0;0;-5.923.588;-36.588.212;19.197.261;9.110.994;2.820.215;-12.399.377;-5.380.467;-1.847.303;1.278.429;3.172.694;-11.584.908;-14.829.723;4.367.538;31.216;4.398.754;1.579.796;-320.778;5.657.772;0
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;12/2021;32.353.806;801.875;8.447.709;5.426.386;1.131.159;1.871.204;50.032.139;-21.968.470;-7.163.309;-665.608;0;-7.883.264;-37.680.652;12.351.487;6.730.250;2.587.095;-3.551.202;-6.925.627;-1.783.638;904.793;18.641.966;-19.280.707;-2.677.069;9.674.418;9.582;9.684.001;-424.675;-1.058.062;8.201.263;0
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;12/2021;26.618.633;0;17.679.027;3.993.358;11.370;0;48.302.388;-1.470.049;-25.174.645;0;0;500.117;-26.144.577;22.157.812;243.706;0;-1.234.774;-218.745;-629.611;2.847.589;537.769;-1.047.767;498.167;22.655.979;1.988.057;24.644.036;-5.437.156;-253.871;18.953.009;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;12/2021;10.452.388;0;3.361.125;4.211.542;435.967;322.050;18.783.072;-8.333.028;-5.027.306;0;0;-1.564.497;-14.924.832;3.858.241;2.889.650;368.714;-1.167.995;-3.868.445;-515.893;644.336;2.848.590;-1.371.752;-172.795;3.685.446;1.421.330;5.106.776;-771.007;-848.509;3.487.261;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;12/2021;5.856.289;248.121;1.720.694;1.676.160;420.336;282.268;10.203.868;-6.173.885;-654.699;-202.199;0;-429.882;-7.460.666;2.743.202;928.251;299.154;-2.018.833;-1.720.751;-282.904;663.522;2.487.361;-2.263.949;-1.908.148;835.055;35.265;870.320;151.986;0;1.022.305;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;12/2021;6.091.363;26.903;1.639.383;1.500.554;153.998;32.630;9.444.831;-4.656.649;-732.242;-23.701;0;-1.611.964;-7.024.556;2.420.275;346.310;380.110;-762.817;-995.643;-209.271;185.607;386.673;-999.526;-1.668.558;751.716;36.975;788.691;71.834;-98.027;762.498;0
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;12/2021;110.059;0;2.345.235;2.474.527;453.702;291;5.383.814;-629.647;-3.973.994;0;0;3.573;-4.600.069;783.745;564.768;888;-538.364;-160.266;-71.616;0;289.073;-21.985;62.496;846.241;0;846.241;-180.226;-13.614;652.401;0
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;12/2021;2.967.081;5.700;1.388.957;260.849;85.814;273.382;4.981.783;-2.446.965;-198.069;-4.396;0;-28.046;-2.677.476;2.304.307;385.276;422.946;-984.754;-890.997;-209.462;94.192;601.004;-1.163.864;-1.745.660;558.647;-10.146;548.501;-83.681;-60.447;404.373;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;12/2021;2.444.452;430.136;418.789;909.166;90.208;1.236;4.293.987;-1.448.368;-860.807;-326.774;0;-190.498;-2.826.448;1.467.539;78.283;72.590;-290.372;-448.964;-113.269;32.706;473.729;-97.721;-293.018;1.174.522;8.964;1.183.485;-413.037;-89.587;680.861;0
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S4;C;2;SAO PAULO;SP;12/2021;2.444.456;0;847.552;572.256;0;85.127;3.949.392;-1.154.176;-6.323;0;-35.841;-1.612.036;-2.808.377;1.141.015;1.967.862;185.996;-969.586;-1.690.563;-531.371;116;1.626.062;-1.902.480;-1.313.965;-172.949;0;-172.949;-48.941;-7.357;-229.247;0
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;12/2021;988.542;20.787;1.805.223;997.173;0;132.256;3.943.981;-1.212.404;-992.599;-18.778;-163.014;-6.744;-2.393.539;1.550.442;689.328;25.224;-579.739;-373.441;-140.456;0;648.165;-340.379;-71.299;1.479.143;1.160;1.480.303;-317.418;-91.480;1.071.405;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;12/2021;2.467.768;0;390.572;143.440;690.301;0;3.692.082;-141.985;-2.758.022;0;0;234.384;-2.665.622;1.026.460;78.490;1.922;-170.154;-142.159;-41.063;0;2.216;-39.846;-310.594;715.865;-771;715.095;-254.213;-30.385;430.497;0
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;12/2021;360.687;0;2.508.572;435.595;0;0;3.304.854;-2.068.113;-8.030;-4.005;-19.597;-17.345;-2.117.089;1.187.765;2.158.191;697.932;-985.590;-2.357.793;-268.498;6.250;1.178.538;-245.194;183.836;1.371.601;1.421;1.373.022;-41.248;-1.307.512;24.262;0
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;12/2021;2.660.131;0;586.380;10.886;26.841;0;3.284.237;-1.282.868;-17.682;0;0;-497.940;-1.798.489;1.485.748;35.628;6.521;-148.863;-923.338;-63.114;29.116;446.404;-764.883;-1.382.528;103.220;2.525;105.745;134.475;-29.594;210.626;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;12/2021;1.438.955;0;1.450.137;6.153;72.549;8.287;2.976.081;-396.161;-825.855;0;0;-131.184;-1.353.200;1.622.881;1.246.988;66.715;-1.201.111;-810.698;-213.323;0;1.250.424;-443.197;-104.202;1.518.679;14.108;1.532.788;-569.902;-54.816;908.070;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;12/2021;1.770.179;0;692.111;101.167;294.369;0;2.857.826;-798.333;-2.003.778;0;0;-75.339;-2.877.450;-19.624;201.490;13.173;-151.527;-100.889;-61.475;0;644.025;-197.179;347.618;327.994;-5.160;322.834;76.260;-84.974;314.120;0
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;12/2021;1.673.541;0;790.863;240.318;54.531;86.151;2.845.403;-1.525.060;-790.432;0;0;-17.945;-2.333.437;511.966;197.346;2.951;-58.253;-606.184;-42.005;3.982;271.187;-76.142;-307.118;204.848;-90;204.758;-121.974;-4.036;78.749;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;12/2021;776.102;0;358.405;776.315;503.796;0;2.414.618;-581.904;-819.240;0;0;-29.800;-1.430.944;983.674;520.521;48.831;-330.392;-393.666;-72.073;98;197.460;-784.046;-813.267;170.406;-48;170.358;-12.281;-16.247;141.831;0
PAGSEGURO - PRUDENCIAL;1000084813;b1;S4;C;2;SAO PAULO;SP;12/2021;2.339.455;0;-49.661;-8.247;0;0;2.281.547;-212.688;-1.526;0;0;0;-214.214;2.067.333;3.886.403;0;-316.345;-1.200.027;-478.718;-814;253.798;-3.319.722;-1.175.425;891.908;-5.921;885.987;-173.243;-68.651;644.093;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;12/2021;586.139;0;609.739;871.372;179.771;0;2.247.020;-391.381;-1.579.634;0;0;34.464;-1.936.551;310.469;637.583;0;-781.031;-176.500;-74.206;23.807;694.133;-553.321;-229.533;80.936;-278.428;-197.493;33.476;0;-164.017;0
BANCO ORIGINAL - PRUDENCIAL;1000080903;b1;S3;C;2;SAO PAULO;SP;12/2021;1.793.493;0;358.725;32.717;24.593;0;2.209.528;-570.408;-219.251;0;0;-458.305;-1.247.964;961.564;413.819;44.411;-537.298;-1.039.497;-118.824;-44.217;145.960;-608.183;-1.743.828;-782.264;16.684;-765.580;21.811;-43.119;-786.889;0
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;12/2021;893.084;0;1.249.113;-1.217;4.225;40.135;2.185.339;-1.707.809;-81.054;0;0;-48.850;-1.837.713;347.626;702.858;64;-91.722;-305.763;-101.443;28.791;319.194;-671.805;-119.826;227.800;-14.226;213.574;-100.543;-9.878;103.153;0
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;12/2021;1.675.877;0;211.969;6.391;2.041;14.405;1.910.682;-643.051;-24.730;0;0;-573.996;-1.241.777;668.905;92.584;110.700;-522.590;-389.983;-78.998;369.147;90.672;-333.876;-662.343;6.563;351.942;358.504;40.753;-67.412;331.845;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;12/2021;1.599.020;24.311;52.449;-3.402;0;0;1.672.378;-622.390;-142.892;-20.072;0;-236.518;-1.021.872;650.506;85.478;53.054;-2.209;-212.169;-64.389;0;161.592;-460.460;-439.105;211.401;-7.550;203.851;-117.711;0;86.140;0
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;12/2021;1.521.952;0;16.553;0;0;0;1.538.504;-56.786;0;0;0;-911.171;-967.957;570.547;387.611;301.811;-102.977;-533.979;-122.443;47.047;89.475;-253.200;-186.655;383.892;0;383.892;-109.338;0;274.554;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;12/2021;181.533;0;219.731;307.803;760.253;0;1.469.320;-27.082;-726.589;0;0;23.280;-730.390;738.930;27.227;42;-58.260;-51.636;-14.116;0;26.159;-612.510;-683.094;55.836;86;55.922;-32.286;-1.778;21.858;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;12/2021;33.749;0;764.072;64.198;542.512;0;1.404.530;-296.407;-235.719;0;0;197;-531.929;872.601;655.510;4.015;-461.161;-129.556;-67.397;0;45.011;-327.532;-281.111;591.490;-66;591.425;-233.742;0;357.682;0
BANCO C6 - PRUDENCIAL;1000084844;b1;S4;C;2;SAO PAULO;SP;12/2021;990.153;0;217.882;157.920;23.114;0;1.389.069;-516.656;-23;0;0;-443.134;-959.813;429.256;176.044;13.252;-221.001;-706.518;-39.655;-39.002;92.038;-364.562;-1.089.404;-660.148;0;-660.148;329.034;-120.917;-452.032;0
