Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;06/2021;40.674.605;389.654;14.733.318;1.719.586;1.116.893;1.066.200;59.700.257;-17.443.400;-4.973.351;-37.112;0;-6.417.387;-28.871.249;30.829.008;14.499.118;5.850.048;-10.052.810;-11.903.629;-3.522.481;945.714;18.452.097;-20.856.241;-6.588.185;24.240.823;210.974;24.451.796;-5.616.124;-5.088.763;13.746.909;0
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;06/2021;34.654.086;632.924;12.098.385;1.053.353;0;937.998;49.376.746;-13.223.116;-1.398.784;-532.958;-421.054;-7.462.225;-23.038.137;26.338.609;7.791.559;5.483.529;-8.714.719;-10.628.676;-2.838.188;1.670.566;6.783.190;-8.843.143;-9.295.881;17.042.729;-100.012;16.942.717;-4.803.498;0;12.139.219;0
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;06/2021;35.952.258;47.923;11.880.140;-384.404;0;691.976;48.187.893;-19.076.310;-2.544.968;-34.373;-547.117;-7.478.430;-29.681.198;18.506.695;7.588.494;4.561.698;-11.417.214;-5.987.295;-2.265.471;1.352.939;8.137.583;-8.985.634;-7.014.899;11.491.796;70.592;11.562.388;-499.455;-1.254.001;9.808.931;0
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;06/2021;34.242.708;0;3.039.453;2.726.581;0;1.990.385;41.999.127;-9.555.588;-9.827.164;0;-41.942;-5.132.380;-24.557.073;17.442.054;8.624.803;2.859.038;-10.769.937;-4.982.332;-1.781.209;4.325.025;3.133.146;-9.746.845;-8.338.312;9.103.742;3.170.917;12.274.660;-470.839;-1.545.694;10.258.127;0
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;06/2021;28.298.136;734.047;6.367.322;3.196.972;0;1.882.762;40.479.239;-7.640.225;-1.241.193;-632.477;-576.899;-7.072.591;-17.163.385;23.315.854;6.417.439;2.624.266;-3.268.423;-7.004.753;-2.265.180;858.444;7.351.413;-14.380.867;-9.667.662;13.648.192;44.777;13.692.969;-5.568.072;-901.701;7.223.196;0
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;06/2021;18.371.077;0;19.844.301;157.640;0;0;38.373.018;-681.733;-12.554.600;0;-7.674;-324.969;-13.568.976;24.804.041;220.857;0;-987.926;-175.493;-1.325.827;1.405.974;1.094.211;-1.216.999;-985.203;23.818.838;-340.887;23.477.951;-8.361.871;0;15.116.080;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;06/2021;5.131.897;0;4.758.190;-866.841;576.621;78.705;9.678.571;-3.264.108;-2.842.860;0;0;371.906;-5.735.062;3.943.509;2.526.801;182.058;-657.489;-1.876.718;-246.211;734.495;2.366.454;-1.635.002;1.394.387;5.337.897;96.919;5.434.816;-995.080;-1.584.843;2.854.893;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;06/2021;4.580.492;250.070;2.438.786;871.188;0;123.855;8.264.391;-4.163.557;-240.902;-213.475;-91.701;-509.133;-5.218.767;3.045.623;863.238;288.131;-1.208.152;-1.327.271;-282.880;249.714;1.424.703;-1.587.920;-1.580.437;1.465.186;42.795;1.507.981;-379.823;0;1.128.158;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;06/2021;4.226.416;28.915;661.785;236.709;51.848;11.385;5.217.058;-1.461.562;-24.856;-25.272;0;-1.247.343;-2.759.034;2.458.023;340.502;406.477;-588.744;-739.842;-204.153;65.913;854.765;-1.226.797;-1.091.878;1.366.145;61.801;1.427.946;-482.200;-121.979;823.767;0
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;06/2021;2.735.849;8.478;547.753;-197.854;0;126.641;3.220.867;-932.960;-93.669;-6.914;-1.554;31.684;-1.003.412;2.217.455;345.674;477.446;-908.382;-829.812;-217.948;70.517;567.664;-964.309;-1.459.150;758.305;-13.309;744.996;-135.537;-65.298;544.161;0
