Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;09/2021;1.959.470.213;745.401.380;1.822.459.745;1.551.411.782;137.010.468;4.634.106;167.786.026;19,34%;14,80%;3.988;719
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;09/2021;1.935.715.336;768.483.906;1.785.602.454;1.330.043.047;150.112.883;5.982.861;161.098.702;14,71%;17,58%;2.902;935
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;09/2021;1.485.966.190;845.013.915;1.409.426.772;1.223.556.036;76.539.418;2.832.540;123.031.986;20,77%;12,85%;3.377;897
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;09/2021;1.448.810.802;580.194.074;1.301.190.429;1.042.575.018;147.620.373;6.653.244;141.772.638;15,18%;29,42%;3.112;1.445
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;09/2021;983.517.695;447.470.397;899.622.991;694.928.033;83.894.703;4.445.068;85.679.408;14,29%;15,71%;2.610;1.953
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;09/2021;724.573.230;298.895.433;605.505.614;211.633.753;119.067.616;11.254.526;182.208.695;37,45%;6,47%;5;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;09/2021;366.008.028;96.561.392;328.138.811;263.173.293;37.869.217;1.743.180;36.249.231;16,05%;30,99%;42;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;09/2021;238.333.042;101.729.739;223.172.843;191.310.586;15.160.199;593.053;21.114.446;14,23%;32,92%;120;4
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;09/2021;137.400.578;25.476.698;126.673.850;70.825.673;10.726.728;320.767;10.517.740;16,98%;2,54%;57;8
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;09/2021;120.368.338;65.154.349;108.264.802;84.832.872;12.103.535;377.770;12.359.250;15,66%;17,80%;9;29
