Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;12/2023;2.416.946.738;908.909.475;2.227.010.478;1.750.839.684;189.936.260;17.408.474;206.861.859;17,03%;21,54%;2.328;1.061
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;12/2023;2.152.538.231;975.463.194;1.988.595.076;1.714.578.365;163.943.154;17.882.720;174.033.091;15,47%;16,36%;4.004;536
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;12/2023;1.826.962.859;1.120.787.735;1.733.436.653;1.543.565.496;93.526.206;6.925.570;126.431.244;16,68%;8,70%;3.375;892
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;12/2023;1.603.371.175;628.599.608;1.440.797.383;1.227.475.871;162.573.792;6.339.950;149.969.145;15,82%;26,10%;2.732;1.145
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;12/2023;1.188.583.172;519.234.693;1.092.808.939;849.268.758;95.774.233;5.111.144;94.903.346;14,50%;18,44%;2.555;1.576
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;12/2023;732.499.188;310.947.816;581.151.573;121.742.667;151.347.614;12.399.924;188.848.885;31,53%;1,06%;5;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;12/2023;481.948.436;123.734.468;428.467.850;333.756.191;53.480.586;5.350.096;64.105.878;17,52%;22,88%;76;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;12/2023;288.382.179;124.745.645;261.223.404;221.413.314;27.158.775;1.917.427;31.730.543;17,65%;27,91%;176;6
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;C;2;SAO PAULO;SP;12/2023;190.037.384;85.174.964;178.766.020;116.456.647;11.271.364;3.030.953;12.770.895;13,65%;NA%;8;0
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;12/2023;186.985.098;29.961.742;176.485.892;131.041.993;10.499.206;283.198;8.653.115;16,04%;20,56%;14;0
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;12/2023;178.665.637;33.349.374;166.382.039;108.905.822;12.283.598;1.550.038;12.040.077;14,86%;3,19%;57;8
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;12/2023;164.304.738;28.337.603;159.512.033;143.343.985;4.792.705;61.555;6.170.672;20,46%;1,55%;7;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;12/2023;141.921.345;73.739.386;127.893.018;104.804.534;14.028.327;971.286;12.727.871;15,65%;5,76%;7;5
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;12/2023;130.724.079;25.907.519;126.546.546;110.881.390;4.177.532;321.103;4.121.366;16,74%;12,77%;8;0
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;12/2023;124.447.910;53.669.311;114.779.400;97.451.593;9.668.510;430.815;9.609.271;16,76%;10,10%;502;126
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;12/2023;111.631.971;3.400.620;101.621.037;69.293.833;10.010.934;1.268.260;9.973.209;16,47%;0,86%;9;0
CIELO IP - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;12/2023;108.284.002;2.449.598;85.881.045;7.767.557;22.402.957;1.117.748;11.982.573;39,30%;NA%;1;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;12/2023;88.320.248;10.505.594;84.327.302;25.435.057;3.992.946;-48.148;5.656.694;17,19%;1,23%;2;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;12/2023;78.551.116;48.229.465;72.394.789;63.173.645;6.156.327;643.066;7.152.977;13,87%;15,95%;56;0
BANCO C6 - PRUDENCIAL;1000084844;b1;S3;C;2;SAO PAULO;SP;12/2023;75.040.458;45.926.250;72.142.033;51.126.721;2.898.425;-386.176;3.879.483;12,13%;16,62%;6;1
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;C;1;FORTALEZA;CE;12/2023;65.763.918;13.200.116;55.022.714;21.224.068;10.741.204;1.185.988;12.502.412;12,80%;2,52%;297;1
INTER - PRUDENCIAL;1000080996;b1;S3;C;2;BELO HORIZONTE;MG;12/2023;60.052.459;29.537.894;52.611.023;43.279.967;7.441.436;188.034;6.138.173;22,95%;9,76%;21;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;12/2023;59.500.746;23.922.455;53.615.376;42.594.309;5.885.370;471.814;7.225.300;14,94%;0,51%;15;0
PAGSEGURO - PRUDENCIAL;1000084813;b1;S4;C;2;SAO PAULO;SP;12/2023;55.662.535;1.819.373;45.088.712;30.578.316;10.573.823;748.304;9.329.408;33,27%;NA%;6;0
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;12/2023;49.822.683;35.494.581;47.212.571;41.641.318;2.610.112;162.791;4.070.996;14,68%;15,64%;129;104
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;12/2023;46.745.663;27.592.371;41.429.699;32.503.775;5.315.965;405.242;6.890.980;16,77%;0,49%;19;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;12/2023;45.212.324;25.825.035;39.328.999;12.570.480;5.883.325;779.226;5.781.613;13,03%;3,70%;116;0
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;12/2023;43.447.277;23.851.248;39.522.004;35.341.481;3.925.273;196.054;3.389.618;13,29%;37,80%;35;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;12/2023;43.099.217;37.425.538;38.723.109;33.952.444;4.376.108;-29.667;3.717.913;10,58%;0,14%;3;0
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;12/2023;41.476.150;9.523.389;39.259.799;37.877.089;2.216.351;185.378;1.975.694;14,60%;16,73%;94;60
STONE IP - PRUDENCIAL;1000084686;n1;S4;C;2;SAO PAULO;SP;12/2023;38.526.471;585;30.191.066;7.726.215;8.335.404;99.846;1.724.074;10,24%;NA%;3;0
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;C;2;SAO PAULO;SP;12/2023;37.947.551;19.314.541;35.452.260;30.915.761;2.495.291;-716.844;NI;NI%;NI%;9;0
BANCO MASTER - PRUDENCIAL;1000080367;b1;S3;C;2;RIO DE JANEIRO;RJ;12/2023;36.844.138;19.727.418;34.089.284;32.648.555;2.754.854;241.232;2.107.422;11,52%;20,15%;10;5
MERCADO PAGO IP - PRUDENCIAL;1000084820;n1;S4;C;2;OSASCO;SP;12/2023;35.427.047;6.009.040;32.938.719;18.285.413;2.488.328;4.580;2.292.549;14,89%;NA%;3;0
