Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;06/2022;110.493.761;216.894.462;26.550.234;380.634.151;333.778;10.241.701;745.148.088;677.334.220;12.877.394;109.061.085;4.193.842;30.382.967;22.837;156.538.125;64.391.277;1.643.411.711;2.925.836;283.347.301;1.929.684.847;0;145.498.207;2.075.183.055
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;06/2022;141.488.037;184.906.906;4.597.414;503.499.345;1.332.496;805.737;836.629.935;262.565.810;20.826.483;25.246.887;47.213.438;64.289.190;47.855.475;205.431.474;118.487.596;1.423.114.815;75.083.698;402.883.331;1.901.081.844;0;161.514.148;2.062.595.992
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;06/2022;42.922.616;366.697.052;189.381;150.851.160;0;15.957.801;576.618.009;238.207.324;30.498.582;2.874.786;1.663.872;2.623.816;0;37.661.056;366.169.738;1.218.656.127;1.235.198;188.869.010;1.408.760.335;0;81.591.460;1.490.351.795
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;06/2022;51.946.944;134.762.778;1.419.504;380.763.310;869.294;1.501.508;571.263.339;232.874.505;48.555.697;20.618.763;101.349.451;12.687.463;23.056.915;206.268.290;61.259.567;1.071.665.700;17.146.778;218.531.072;1.307.343.550;0;154.350.187;1.461.693.737
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;06/2022;41.005.678;61.398.932;3.126.047;308.666.794;189.220;364.468;414.751.138;90.401.345;34.088.928;19.231.705;37.161.054;12.897.875;11.310.766;114.690.328;87.505.209;707.348.019;30.153.458;189.562.520;927.063.998;0;85.632.858;1.012.696.856
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;06/2022;0;0;508.935;0;0;6.094.238;6.603.173;46.683.239;0;0;1.113.211;8.413.698;913.420;10.440.329;141.460.461;205.187.202;263.370;398.883.139;604.333.711;0;129.355.908;733.689.619
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;06/2022;10.225.630;0;3.246.085;101.298.774;0;155.050;114.925.539;89.417.899;2.056.479;16.606.641;30.013.363;14.641.884;1.044.129;64.362.495;14.416.991;283.122.924;18.089.015;97.729.886;398.941.826;0;45.517.207;444.459.033
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;06/2022;1.967.798;4.420.814;594.290;65.795.600;258.353;66;73.036.921;23.332.723;565.168;19.779.488;45.586.019;1.842.105;7.062.147;74.834.927;17.990.823;189.195.394;9.825.531;27.944.856;226.965.781;0;15.701.238;242.667.019
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;06/2022;8.726.479;0;390.525;44.046.183;0;158.703;53.321.890;5.776.113;0;0;4.236.265;0;193.369;4.429.635;24.492.940;88.020.578;12.087.855;41.004.207;141.112.639;0;11.510.146;152.622.786
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;06/2022;83.042;26.373.901;12.986.792;6.776.258;0;0;46.219.993;24.429.652;0;13.657.621;4.275.039;0;0;17.932.660;20.045.991;108.628.296;315.746;10.329.997;119.274.038;0;3.201.184;122.475.222
