Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;03/2021;142.043.570;183.285.499;4.743.339;495.723.610;83.595;941.828;826.821.441;265.328.706;5.381.366;12.064.314;40.727.180;66.792.508;15.385.880;140.351.248;85.571.267;1.318.072.663;73.200.972;364.970.885;1.756.244.519;3.292.722;152.372.949;1.911.910.190
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;03/2021;96.774.373;219.055.228;28.530.839;287.689.382;355.231;16.065.587;648.470.640;582.308.511;12.551.657;72.565.221;36.474;34.539.459;2.691;119.695.501;72.754.520;1.423.229.172;3.024.880;260.760.463;1.687.014.516;200.447;127.903.192;1.815.118.154
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;03/2021;46.327.726;368.492.421;247.117;160.146.264;0;12.504.832;587.718.359;210.165.598;31.667.260;42.121;1.580.808;2.957.611;566.438;36.814.239;346.194.809;1.180.893.005;2.048.754;178.324.447;1.361.266.206;9.540.625;65.233.655;1.436.040.486
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;03/2021;48.935.359;134.181.158;2.456.107;355.779.138;321.985;1.037.708;542.711.455;269.230.148;26.469.693;14.438.936;87.270.704;12.127.873;11.165.772;151.472.978;52.055.356;1.015.469.937;20.973.665;195.802.927;1.232.246.529;166.738;144.253.560;1.376.666.827
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;03/2021;39.095.788;63.673.888;5.406.246;274.006.832;164.096;694.652;383.041.501;165.605.189;25.143.950;14.128.834;14.214.161;12.546.835;4.692.666;70.726.446;83.804.099;703.177.235;34.078.077;172.229.295;909.484.607;353.613;82.568.253;992.406.473
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;03/2021;0;0;129.520;0;0;6.738.832;6.868.352;35.268.287;0;0;1.010.399;9.131.097;1.416.826;11.558.321;176.831.381;230.526.341;1.355.865;391.468.639;623.350.844;0;113.886.175;737.237.020
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;03/2021;5.732.220;0;822.836;57.712.182;0;0;64.267.238;54.099.207;2.153.953;4.029.601;23.820.820;18.301.646;465.731;48.771.751;7.096.501;174.234.698;6.721.602;64.342.146;245.298.446;225.392;30.419.766;275.943.603
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;03/2021;1.894.003;3.928.842;491.837;68.629.244;293.978;34;75.237.939;40.831.359;788.228;9.501.638;32.330.871;2.453.623;4.973.003;50.047.363;16.653.747;182.770.409;9.983.480;21.318.061;214.071.950;69.527;13.950.428;228.091.906
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;03/2021;397.821;0;4.211.431;21.338.130;0;0;25.947.383;20.316.000;256.810;1.198.978;27.959.271;8.903.774;5.533;38.324.366;3.707.301;88.295.049;4.645.375;17.198.155;110.138.579;109.600;11.065.096;121.313.276
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;03/2021;322.058;0;171.948;11.760.159;0;1.582.838;13.837.004;4.127.766;0;0;0;0;353.769;353.769;51.962.986;70.281.524;12.758.870;31.186.800;114.227.195;1.930;5.855.701;120.084.825
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;03/2021;7.493.972;0;0;32.254.715;0;206.379;39.955.067;6.847.971;0;0;213.675;0;304.152;517.827;11.998.141;59.319.006;11.876.008;35.103.328;106.298.341;52.819;10.256.346;116.607.506
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;03/2021;3.580.992;11.110.911;1.183.878;45.118.864;4.663;10.406;61.009.714;7.019.800;818.116;0;1.101.723;0;0;1.919.839;3.541.009;73.490.361;36.083;13.221.871;86.748.316;161.300;8.580.929;95.490.544
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;03/2021;0;0;6.011;4.867.995;0;14.516.457;19.390.463;44.615.581;0;0;83.009;0;2.841.116;2.924.125;0;66.930.169;8.529.684;10.519.721;85.979.575;4.274;3.585.543;89.569.391
