Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;06/2022;2.075.183.055;813.555.976;1.929.684.847;1.643.411.711;145.498.207;14.366.869;168.976.500;17,54%;15,03%;3.995;651
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;06/2022;2.062.595.992;860.000.092;1.901.081.844;1.423.114.815;161.514.148;14.735.924;168.956.856;14,06%;18,96%;2.677;937
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;06/2022;1.490.351.795;929.941.544;1.408.760.335;1.218.656.127;81.591.460;3.980.904;124.255.595;18,65%;9,09%;3.376;913
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;06/2022;1.461.693.737;633.290.842;1.307.343.550;1.071.665.700;154.350.187;14.089.411;152.503.995;15,65%;26,03%;2.969;1.372
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;06/2022;1.012.696.856;469.534.394;927.063.998;707.348.019;85.632.858;8.332.061;89.009.349;14,18%;17,46%;2.608;1.578
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;06/2022;733.689.619;308.620.323;604.333.711;205.187.202;129.355.908;24.615.500;174.616.064;33,42%;1,19%;5;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;06/2022;444.459.033;110.897.243;398.941.826;283.122.924;45.517.207;4.009.882;42.721.454;15,18%;29,98%;51;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;06/2022;242.667.019;117.407.231;226.965.781;189.195.394;15.701.238;1.140.921;21.558.535;12,94%;35,53%;123;4
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;06/2022;152.622.786;27.270.154;141.112.639;88.020.578;11.510.146;963.314;11.301.439;14,57%;2,63%;57;8
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;06/2022;122.475.222;18.228.968;119.274.038;108.628.296;3.201.184;99.203;2.842.403;14,47%;3,24%;7;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;06/2022;121.164.798;66.853.084;106.557.132;87.131.853;14.607.667;993.039;12.655.294;17,12%;10,68%;9;19
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;06/2022;119.864.368;16.443.448;113.134.511;80.772.977;6.729.857;-165.309;4.345.506;13,72%;4,49%;8;0
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;06/2022;109.659.053;44.585.485;100.688.997;84.968.684;8.970.056;391.916;8.401.177;16,75%;10,05%;507;129
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;;C;2;SAO PAULO;SP;06/2022;108.815.132;45.342.773;105.310.065;71.114.914;3.505.067;88.247;*;*%;*%;7;0
CIELO IP - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;06/2022;102.839.838;89.040;81.868.135;4.838.601;20.971.703;956.557;NA;NA%;NA%;1;0
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;06/2022;89.418.104;4.292.115;81.906.986;53.716.659;7.511.118;489.259;7.462.057;17,25%;1,07%;9;0
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;06/2022;86.592.977;18.348.164;83.801.164;69.812.835;2.791.814;291.275;2.761.344;15,30%;9,92%;8;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;06/2022;72.847.452;17.528.355;68.388.468;27.851.076;4.458.983;22.382;5.546.485;14,13%;1,54%;7;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;06/2022;65.963.161;42.372.421;60.669.850;51.372.515;5.293.311;468.547;6.288.901;13,42%;17,04%;54;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;06/2022;65.005.841;14.031.226;56.815.489;20.891.035;8.190.352;701.343;10.425.450;13,76%;2,64%;296;2
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;06/2022;49.459.857;24.133.022;44.547.841;37.085.911;4.912.016;385.758;5.992.182;14,97%;0,50%;14;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;06/2022;49.065.370;28.670.148;43.882.696;32.657.395;5.182.674;293.264;6.689.090;15,67%;0,24%;19;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;06/2022;45.691.680;1.194.355;41.404.946;16.605.389;4.286.734;474.099;4.286.734;21,72%;1,10%;3;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;06/2022;43.492.470;3.185.388;41.050.798;10.952.283;2.441.672;43.064;2.371.486;23,85%;0,55%;5;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;06/2022;42.987.262;10.979.120;36.719.418;21.309.854;6.267.844;580.274;5.863.095;18,21%;4,35%;10;0
INTER - PRUDENCIAL;1000080996;b1;S3;C;2;BELO HORIZONTE;MG;06/2022;40.596.646;19.506.314;32.202.559;26.406.408;8.394.087;92.206;7.086.144;32,89%;5,38%;21;0
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;06/2022;39.852.496;20.240.113;35.790.948;32.350.097;4.061.548;108.684;2.780.383;13,42%;41,45%;37;0
PAGSEGURO - PRUDENCIAL;1000084813;b1;;C;2;SAO PAULO;SP;06/2022;39.683.520;837.173;29.693.714;17.481.576;9.989.806;668.665;*;*%;*%;4;0
