Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;06/2020;1.865.493.912;658.333.548;1.727.684.516;1.293.965.133;137.809.395;5.022.277;140.649.732;13,52%;25,79%;3.016;898
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;06/2020;1.694.379.512;657.191.345;1.589.222.084;1.315.749.078;105.157.429;6.516.382;142.667.975;18,69%;14,24%;4.378;799
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;06/2020;1.430.252.855;720.080.138;1.374.372.095;1.178.614.209;55.880.760;5.347.397;100.251.922;18,63%;12,34%;3.374;741
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;06/2020;1.290.983.146;478.694.779;1.155.788.292;941.162.466;135.194.854;6.895.750;131.603.285;15,04%;32,63%;4.367;1.438
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;06/2020;986.056.926;383.000.594;909.587.594;629.479.949;76.469.332;5.917.332;80.163.771;14,47%;15,39%;2.773;1.903
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;06/2020;747.872.346;294.572.863;649.377.015;274.376.520;98.495.331;4.961.724;180.260.289;36,99%;4,54%;5;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;06/2020;228.402.326;39.737.931;202.825.056;129.544.297;25.577.270;1.745.277;26.570.918;19,63%;32,79%;19;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;06/2020;205.060.529;75.082.043;192.420.214;163.900.507;12.640.315;921.256;17.593.531;14,55%;36,27%;120;5
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;06/2020;121.549.339;56.177.898;111.401.928;87.337.385;10.147.411;442.333;9.977.796;14,39%;19,70%;95;0
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;06/2020;112.795.880;18.646.266;102.736.586;53.337.150;10.059.293;462.255;9.831.611;17,32%;1,35%;127;8
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;06/2020;86.638.205;35.965.931;78.419.345;66.388.708;8.218.860;377.299;6.737.249;15,99%;8,42%;523;138
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;06/2020;76.720.044;4.450.324;71.165.319;45.979.971;5.554.725;76.984;5.505.518;15,23%;1,55%;11;0
CIELO - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;06/2020;76.285.630;58.171;63.491.507;8.589.331;12.794.123;142.613;NA;NA%;NA%;1;0
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;06/2020;71.249.535;12.507.772;69.826.825;65.603.188;1.422.710;32.902;1.666.807;16,84%;8,18%;7;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;06/2020;68.304.851;19.528.551;63.658.666;24.935.988;4.646.185;234.784;5.397.908;14,95%;1,37%;7;0
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;06/2020;67.259.806;9.995.098;65.252.051;57.276.484;2.007.754;91.219;2.003.111;17,42%;10,01%;8;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;06/2020;59.019.670;10.988.649;53.131.074;19.111.899;5.888.597;332.537;8.502.388;13,80%;2,76%;296;2
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;06/2020;57.863.036;4.588.164;56.872.762;17.095.175;990.275;1.396;987.078;14,58%;0,50%;4;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;06/2020;57.513.850;4.905.813;55.183.882;9.684.593;2.329.968;11.949;2.072.930;19,34%;1,67%;5;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;06/2020;56.479.368;8.496.898;51.657.429;22.005.220;4.821.939;-79.814;5.705.152;21,50%;2,33%;10;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;06/2020;52.143.225;28.490.661;48.028.640;33.015.414;4.114.585;188.128;6.498.401;15,79%;0,30%;19;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;06/2020;49.106.696;18.218.731;45.013.398;29.991.308;4.093.299;142.613;5.370.657;15,72%;0,50%;13;0
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;06/2020;41.278.584;379.410;38.457.369;11.575.463;2.821.215;250.103;2.355.027;22,47%;5,49%;6;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;06/2020;41.005.765;23.353.460;36.885.024;31.053.167;4.120.741;655.063;4.561.350;16,74%;22,68%;51;0
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;06/2020;33.469.364;24.410.571;28.356.621;24.264.712;5.112.742;314.450;3.265.995;15,88%;13,22%;5;0
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S4;C;2;SAO PAULO;SP;06/2020;32.461.185;12.492.620;31.483.906;18.267.607;977.279;-95.021;*;*%;*%;3;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;06/2020;30.862.833;660.903;27.882.491;12.587.138;2.980.341;110.929;2.977.230;19,14%;1,81%;3;0
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;06/2020;29.107.144;2.968.813;27.834.390;8.533.624;1.272.754;11.128;1.251.383;20,31%;1,12%;2;0
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;06/2020;27.107.482;4.709.374;25.523.541;24.527.944;1.583.940;124.712;1.430.036;14,08%;12,62%;118;37
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;06/2020;25.637.635;1.806.423;21.699.136;10.028.507;3.938.499;290.311;3.721.754;23,69%;0,51%;4;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;06/2020;24.703.212;17.649.552;21.973.116;17.181.773;2.730.096;106.664;3.411.110;18,87%;0,16%;3;0
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;06/2020;24.016.715;3.527.674;22.512.421;6.334.821;1.504.293;55.696;1.463.021;26,48%;0,33%;4;0
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;06/2020;22.847.169;12.777.661;21.771.052;18.487.556;1.076.117;-514.587;2.015.128;14,01%;1,44%;14;0
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;06/2020;22.590.799;12.526.783;18.494.033;14.938.590;4.096.765;165.793;3.025.650;19,79%;44,61%;38;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;06/2020;20.512.334;3.938.955;18.195.805;6.262.815;2.316.529;108.935;2.780.887;12,05%;5,05%;121;0
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;06/2020;20.418.609;18.964;18.390.618;7.009.290;2.027.991;99.073;2.027.991;17,44%;0,81%;4;0
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;06/2020;19.742.376;13.297.850;17.700.362;14.921.384;2.042.014;216.362;1.782.521;14,90%;12,74%;128;11
STONE PAGAMENTOS - PRUDENCIAL;1000084686;n1;S5;C;2;SAO PAULO;SP;06/2020;17.505.615;491.474;13.687.392;1.213.918;3.818.223;81.546;*;*%;*%;3;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;06/2020;16.595.471;13.470.756;13.626.829;12.634.317;2.968.642;83.085;2.954.833;18,50%;1,32%;4;0
PAGSEGURO;1000084813;b1;S4;C;2;SAO PAULO;SP;06/2020;16.545.058;111.739;8.348.108;3.000.982;8.196.950;649.447;*;*%;*%;3;0
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;06/2020;16.479.759;8.873.125;13.857.673;12.707.763;2.622.086;60.507;2.573.457;18,73%;14,21%;45;2
ORIGINAL;1000080903;b1;S3;C;2;SAO PAULO;SP;06/2020;15.116.375;6.994.843;12.979.969;11.903.224;2.136.406;-339.441;1.086.109;10,01%;16,82%;4;0
HSBC BI - PRUDENCIAL;1000084741;b1;S4;I;3;SAO PAULO;SP;06/2020;13.481.810;748.971;12.356.132;3.718.380;1.125.678;32.214;1.082.848;25,63%;1,07%;2;0
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;06/2020;13.442.719;9.160.139;10.659.125;7.689.555;2.783.594;218.858;2.663.916;30,46%;6,80%;3;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;06/2020;13.294.830;12.415.439;11.246.474;10.625.802;2.048.356;79.935;2.040.630;15,29%;0,44%;5;0
INTER - PRUDENCIAL;1000080996;b1;S4;C;2;BELO HORIZONTE;MG;06/2020;12.423.604;5.659.227;10.275.424;9.174.193;2.148.180;-8.750;1.952.750;27,26%;2,50%;28;0
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S4;I;3;SAO PAULO;SP;06/2020;12.217.092;2.649.695;11.068.086;4.199.781;1.149.007;47.990;1.147.494;19,49%;0,40%;2;0
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;S3;I;2;CURITIBA;PR;06/2020;12.124.561;0;11.804.242;0;320.319;0;235.118;41,69%;2,31%;0;0
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;C;3;SAO PAULO;SP;06/2020;11.890.137;2.824.007;10.261.494;4.558.585;1.628.643;-7.947;1.522.541;18,38%;0,94%;2;0
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;06/2020;11.751.768;2.915.452;10.906.746;8.058.448;845.022;882;615.177;11,28%;21,78%;4;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;06/2020;10.890.095;9.961.097;9.589.530;9.128.643;1.300.565;66.167;1.296.498;13,00%;0,44%;2;0
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;06/2020;10.796.193;5.172.846;9.795.988;7.683.723;1.000.205;74.183;1.047.665;18,08%;26,42%;123;160
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;06/2020;10.437.833;9.635.543;7.698.588;1.534.732;2.739.245;169.483;1.957.197;18,85%;2,05%;2;0
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;06/2020;9.710.931;0;2.740.548;58;6.970.384;-417;6.970.384;46,47%;4,89%;2;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;06/2020;9.629.829;5.897.774;8.195.170;7.851.118;1.434.660;133.995;1.309.616;22,13%;5,58%;126;34
BS2 - PRUDENCIAL;1000080422;b1;S4;C;2;BELO HORIZONTE;MG;06/2020;9.625.211;775.844;9.148.389;3.704.349;476.822;-45.947;432.391;11,52%;22,58%;8;0
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;06/2020;9.566.332;2.072.601;2.175.306;2.049.325;7.391.026;21.578;902.418;29,56%;1,37%;63;0
BOCOM - PRUDENCIAL;1000084624;b1;S4;C;3;SALVADOR;BA;06/2020;9.159.155;4.149.238;8.478.680;7.388.937;680.475;14.430;855.786;13,87%;1,30%;8;0
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;06/2020;9.056.459;3.358.593;7.860.229;6.654.869;1.196.230;52.559;814.687;13,50%;1,88%;2;0
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S4;I;3;SAO PAULO;SP;06/2020;8.915.606;6.223.962;7.908.705;7.050.015;1.006.901;80.341;911.096;15,53%;0,99%;2;0
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S4;I;2;FLORIANOPOLIS;SC;06/2020;8.774.493;58.827;8.358.978;1.628.484;415.515;14.065;239.340;13,70%;2,33%;0;0
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;I;3;INDAIATUBA;SP;06/2020;8.656.107;8.035.962;7.186.986;7.095.707;1.469.120;96.596;1.462.276;18,94%;0,16%;2;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S4;C;2;SAO PAULO;SP;06/2020;8.412.590;7.636.146;7.341.799;2.334.345;1.070.791;113.898;1.069.985;12,14%;0,12%;5;0
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S4;I;2;BELO HORIZONTE;MG;06/2020;8.387.394;113.482;7.820.580;91.999;566.815;18.772;320.049;14,35%;16,78%;0;0
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;C;3;SAO PAULO;SP;06/2020;8.171.375;1.964.005;6.349.174;4.782.721;1.822.201;23.522;1.803.523;27,59%;0,19%;2;0
