Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;09/2020;46.959.257;378.929.051;405.345.698;605.467.831;-47.796.593;557.671.238;8.978.483;421.273;246.101;-378.270;9.267.588;308.026.520;134.173.133;60.239.727;1.900.612.211;246.101;1.900.366.109
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;09/2020;19.411.510;595.915.962;255.536.921;614.183.495;-40.203.917;573.979.578;20.833;237.982;86.549;-4.173;341.192;201.112.554;74.603.222;33.894.398;1.754.795.338;86.549;1.754.708.788
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;09/2020;20.391.245;270.273.602;241.458.816;749.843.439;-33.273.446;716.569.993;0;0;0;0;0;88.888.031;122.092.967;13.744.903;1.473.419.557;0;1.473.419.557
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;09/2020;25.425.971;220.234.018;346.562.913;432.576.874;-41.927.323;390.649.552;46.014;3.977.869;1.252.367;-57.630;5.218.620;224.653.343;92.042.963;69.076.820;1.373.864.199;1.252.367;1.372.611.833
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;09/2020;15.354.779;59.592.433;242.647.200;331.628.055;-23.413.334;308.214.721;8.984;4.590.007;2.147.389;-35.357;6.711.024;242.910.646;87.615.649;19.396.522;982.442.974;2.147.389;980.295.585
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;09/2020;212.454;129.649.295;133.721.637;300.089.906;-15.799.808;284.290.098;0;0;0;0;0;36.220.277;169.459.932;10.853.490;764.407.182;0;764.407.182
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;09/2020;3.478.408;67.203.899;58.789.091;44.352.498;-1.738.590;42.613.907;0;0;0;0;0;62.644.620;4.272.919;10.875.036;249.877.879;0;249.877.879
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;09/2020;2.064.101;21.142.866;59.778.406;76.271.489;-3.089.060;73.182.429;2.644;1.434.000;425.232;-6.411;1.855.466;14.795.483;15.137.247;6.730.866;194.686.865;425.232;194.261.633
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;09/2020;323.024;10.425.281;39.022.728;51.982.645;-4.004.450;47.978.195;6;83.771;3.019;-1.619;85.178;18.576.430;1.109.713;2.392.783;119.913.331;3.019;119.910.311
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;09/2020;158.201;64.065.032;32.124.071;2.733.811;-28.458;2.705.353;0;0;0;0;0;19.689.461;9.160;87.993;118.839.270;0;118.839.270
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;09/2020;1.277.565;19.640.543;46.266.326;13.684.242;-286.911;13.397.331;-216;71.449;19.424;-463;90.195;30.316.074;3.250.700;302.430;114.541.162;19.424;114.521.738
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;09/2020;1.374.852;5.945.058;32.098.100;33.567.407;-2.605.365;30.962.043;189;55.178;33.861;-7.223;82.005;7.557.015;10.771.520;1.462.014;90.252.607;33.861;90.218.746
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;09/2020;273.804;8.871.282;31.919.938;13.456.711;-9.763;13.446.948;0;0;0;0;0;3.402.744;26.227.156;137.467;84.279.338;0;84.279.338
CIELO - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;09/2020;235.740;431.365;5.675.382;51.194;-24.242;26.952;0;0;0;0;0;4.347.109;61.257.131;11.192.129;83.165.807;0;83.165.807
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;09/2020;41.936;36.870.676;14.854.149;6.213.931;-120.111;6.093.820;0;0;0;0;0;5.426.962;15.958.592;264.170;79.510.305;0;79.510.305
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;09/2020;161.382;3.707.759;16.648.967;11.052.742;-552.033;10.500.709;0;0;0;0;0;44.165.584;212.546;184.611;75.581.557;0;75.581.557
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;09/2020;290.715;18.285.481;43.058.732;1.368.392;-6.977;1.361.415;0;0;0;0;0;3.109.025;785.120;592.497;67.482.986;0;67.482.986
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;09/2020;329.691;17.315.915;12.439.870;11.230.941;-173.965;11.056.976;0;0;0;0;0;23.655.518;4.170;154.939;64.957.079;0;64.957.079
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;09/2020;33.027;5.793.541;4.073.295;2.741.238;0;2.741.238;0;0;0;0;0;51.392.566;3.478;35.987;64.073.132;0;64.073.132
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;09/2020;5.385;10.799.155;2.295.593;874.737;-3.893;870.844;0;0;0;0;0;45.524.509;1.425;7.885;59.504.796;0;59.504.796
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;09/2020;137.942;3.136.200;38.210.990;10.388.854;-506.115;9.882.739;0;0;0;0;0;5.067.021;1.002.167;231.821;57.668.881;0;57.668.881
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;09/2020;275.226;5.995.751;7.833.104;23.784.916;-1.018.583;22.766.334;0;0;0;0;0;16.090.952;48.897;27.755;53.038.019;0;53.038.019
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;09/2020;670.993;6.756.612;12.277.636;16.630.688;-314.192;16.316.496;0;0;0;0;0;8.909.671;473.395;92.356;45.497.159;0;45.497.159
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;09/2020;252.161;5.529.400;5.618.126;22.276.154;-1.324.498;20.951.656;3.262;1.365.662;223.054;-14.506;1.577.471;9.844.120;301.191;1.043.867;45.117.993;223.054;44.894.939
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S4;C;2;SAO PAULO;SP;09/2020;160.898;8.315.592;17.689.961;650.398;-49.330;601.068;0;0;0;0;0;13.738.419;151.040;74.322;40.731.301;0;40.731.301
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;09/2020;39.394;6.217.197;4.287.517;1.688.409;-1.697;1.686.712;0;0;0;0;0;25.153.683;14.803;32.902;37.432.209;0;37.432.209
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;09/2020;344.542;18.069.880;10.592.263;4.550.279;-281.667;4.268.613;0;9.251;6.770;-12;16.009;974.335;879.534;333.652;35.478.827;6.770;35.472.057
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;09/2020;4.408;1.464.996;2.301.060;24.104.009;-1.707.354;22.396.655;0;0;0;0;0;7.918.897;387.776;598.638;35.072.431;0;35.072.431
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;09/2020;140.915;16.413.091;10.607.442;408.083;-382;407.701;0;0;0;0;0;2.770.230;193.985;50.183;30.583.547;0;30.583.547
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;09/2020;168.079;61.569;6.314.883;12.648.021;-716.390;11.931.631;0;0;0;0;0;4.701.287;364.240;1.642.535;25.184.224;0;25.184.224
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;09/2020;6.125;8.120.228;12.833.917;1.588.764;0;1.588.764;0;0;0;0;0;2.118.217;264;23.988;24.691.503;0;24.691.503
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;09/2020;417;2.809.756;186.344;17.837.139;-785.439;17.051.701;215;97.330;19.513;-1.133;115.926;3.295.991;38.378;25.482;23.523.995;19.513;23.504.482
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;09/2020;111.830;4.814.344;1.406.604;1.073.968;-2.482;1.071.486;96;366.788;30.568;-16.065;381.387;15.653.891;2.653;5.225;23.447.420;30.568;23.416.852
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;09/2020;279.542;1.470.901;3.448.811;13.855.893;-391.552;13.464.341;0;0;0;0;0;2.240.630;716.226;342.379;21.962.830;0;21.962.830
STONE PAGAMENTOS - PRUDENCIAL;1000084686;n1;S5;C;2;SAO PAULO;SP;09/2020;51.611;7.287;2.519.533;1.128.756;-180.616;948.140;0;215;0;0;215;658.250;16.013.000;661.280;20.859.316;0;20.859.316
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;09/2020;82.528;1.086.685;12.633.372;4.610.211;-410.766;4.199.444;0;0;0;0;0;1.818.130;745.886;269.888;20.835.935;0;20.835.935
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;09/2020;189.551;1.259.803;5.070.225;9.928.129;-491.982;9.436.148;0;100.286;19.651;-6.561;113.376;3.817.143;215.263;29.083;20.130.592;19.651;20.110.941
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;09/2020;228.678;4.949.877;12.116.395;12.402;0;12.402;0;0;0;0;0;2.146.216;2.136;14.517;19.470.221;0;19.470.221
PAGSEGURO;1000084813;b1;S4;C;2;SAO PAULO;SP;09/2020;51.303;531.017;1.653.939;296.818;-3.929;292.889;0;0;0;0;0;1.336.572;13.067.465;2.305.489;19.238.675;0;19.238.675
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;09/2020;2.253;736.825;5.776.497;8.869.839;-99.097;8.770.743;195;524.677;116.149;-5.629;635.392;1.655.815;159.470;370.106;18.107.102;116.149;17.990.953
HSBC BI - PRUDENCIAL;1000084741;b1;S4;I;3;SAO PAULO;SP;09/2020;133.511;2.296.505;6.707.962;506.699;-2.003;504.695;0;0;0;0;0;7.658.979;450;60.959;17.363.061;0;17.363.061
INTER - PRUDENCIAL;1000080996;b1;S4;C;2;BELO HORIZONTE;MG;09/2020;435.472;5.386.559;1.594.678;5.298.878;-180.818;5.118.060;0;0;0;0;0;2.129.057;1.556.431;243.793;16.464.051;0;16.464.051
ORIGINAL;1000080903;b1;S3;C;2;SAO PAULO;SP;09/2020;156.723;1.149.612;4.276.111;5.213.621;-248.474;4.965.147;0;0;0;0;0;2.932.815;1.740.767;1.013.767;16.234.942;0;16.234.942
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;09/2020;379;316.975;2.163.312;13.407.146;-392.054;13.015.092;0;0;0;0;0;509.025;54.090;52.805;16.111.679;0;16.111.679
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;09/2020;117.883;1.036.031;106.547;11.818.945;-394.786;11.424.159;381;179.592;12.983;-3.958;188.999;1.366.621;13.961;9.197;14.263.397;12.983;14.250.414
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;S3;I;2;CURITIBA;PR;09/2020;0;306.766;13.342.677;0;0;0;0;0;0;0;0;157.338;183;66.212;13.873.176;0;13.873.176
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S4;I;3;SAO PAULO;SP;09/2020;30.227;8.434.462;774.041;2.062.135;-81;2.062.054;0;0;0;0;0;2.005.083;1.335;6.452;13.313.653;0;13.313.653
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;C;3;SAO PAULO;SP;09/2020;406.389;3.299.491;1.483.134;989.412;-3.160;986.253;0;0;0;0;0;6.615.623;17.392;14.630;12.822.912;0;12.822.912
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;09/2020;174.030;11.252;6.529.555;2.667.355;-220.389;2.446.966;0;0;0;0;0;2.427.478;456.826;127.117;12.173.224;0;12.173.224
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;09/2020;2.188;1.158.509;263.394;8.663.206;-267.730;8.395.476;45;21.732;575;-357;21.995;2.018.008;13.893;187.984;12.061.447;575;12.060.872
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;09/2020;18.251;984.909;342;10.387.154;-381.048;10.006.106;45;1.453;973;-128;2.343;542.777;31.388;9.366;11.595.481;973;11.594.508
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;09/2020;243.315;2.733.026;1.040.182;6.125.223;-138.937;5.986.286;0;0;0;0;0;598.984;572.754;198.541;11.373.088;0;11.373.088
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;09/2020;4.190;286.139;356.745;3.360.478;-1.387.102;1.973.376;0;0;0;0;0;7.672.842;70.166;811.895;11.175.352;0;11.175.352
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;09/2020;155.661;2.065.214;2.485.600;3.335.342;-59.926;3.275.416;0;0;0;0;0;2.529.193;600.418;25.307;11.136.811;0;11.136.811
BS2 - PRUDENCIAL;1000080422;b1;S4;C;2;BELO HORIZONTE;MG;09/2020;183.794;305.354;1.344.889;368.629;-12.814;355.815;0;0;0;0;0;853.574;7.838.704;146.817;11.028.948;0;11.028.948
BOCOM - PRUDENCIAL;1000084624;b1;S4;C;3;SALVADOR;BA;09/2020;225.622;1.856.765;3.539.500;4.627.370;-56.173;4.571.198;0;0;0;0;0;696.899;39.472;33.582;10.963.038;0;10.963.038
