Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;03/2020;570.947;0;16.613;7.541.277;297.533;8.426.370;1.059.548;0;423.557;1.835.227;0;1.994.130;4.252.914;12.023.069;25.761.901;7.214.364;27.110.425;60.086.690;22.480;4.407.399;64.516.568
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;03/2020;339.045;2.742.916;1.310.898;5.887.935;1.998.967;12.279.761;1.686.609;0;0;11.500;0;0;11.500;2.778.195;16.756.066;0;36.748.349;53.504.415;0;5.617.049;59.121.464
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;03/2020;58.284;6.567.512;34.080.540;562.003;0;41.268.340;3.190.438;0;69.258;0;0;0;69.258;3.103.664;47.631.701;129;7.091.796;54.723.625;216;1.967.920;56.691.761
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;03/2020;409;0;126.439;2.426.233;0;2.553.080;0;0;0;0;0;0;0;9.548.362;12.101.442;1.849.781;38.343.363;52.294.586;2.671;1.003.347;53.300.604
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;03/2020;23.218;0;0;726.824;0;750.042;10.371.477;0;0;444.936;0;1.428.738;1.873.675;7.988.744;20.983.938;8.736.948;18.688.643;48.409.529;46.491;4.757.420;53.213.440
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;03/2020;61.132;0;18.092;337.113;0;416.338;460.082;1.978.803;740.640;158.473;0;0;2.877.915;28.034.877;31.789.212;1.764.779;12.317.085;45.871.076;28;3.981.143;49.852.247
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;03/2020;191.194;0;627.564;5.154.287;0;5.973.046;1.102.637;829.073;2.486.726;5.924.372;0;31.240;9.271.412;12.205.541;28.552.635;3.455.137;12.731.000;44.738.773;21.592;4.046.679;48.807.044
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;03/2020;0;0;0;4;0;4;20.824.904;0;0;0;0;150.461;150.461;42.124;21.017.493;2.515.753;14.519.493;38.052.738;184.898;2.697.027;40.934.663
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;03/2020;926.837;0;718.904;7.164.423;8.697;8.818.861;3.690.695;821.411;728.185;9.073.170;2.340.797;0;12.963.562;4.183.267;29.656.386;120.769;5.186.100;34.963.255;76.124;3.896.686;38.936.065
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;03/2020;0;0;1.032;1.777.546;0;1.778.578;1.793.316;0;0;0;0;4.418.745;4.418.745;791.957;8.782.596;11.098.728;14.570.102;34.451.425;0;3.709.175;38.160.601
