Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;12/2019;82.834.059;144.562.523;3.021.198;287.787.643;476.481;518.681.903;270.247.839;7.635.011;21.204.200;65.433.094;43.865.815;5.430.380;143.568.500;74.093.158;1.006.591.400;47.797.636;328.281.133;1.382.670.170;2.582.178;143.356.131;1.528.608.478
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;12/2019;70.491.908;180.942.854;29.128.475;224.722.316;8.919.384;514.204.937;415.451.969;16.992.680;75.882.065;5.284.000;26.535.999;18.641;124.713.385;79.397.504;1.133.767.795;961.612;238.741.141;1.373.470.549;92.497;98.921.447;1.472.484.492
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;12/2019;35.775.990;321.189.306;130.571;167.706.642;11.089.447;535.891.955;155.031.859;48.232.598;38.907;1.541.666;2.057.903;863.136;52.734.211;320.716.525;1.064.374.550;1.073.796;177.643.595;1.243.091.941;0;50.399.483;1.293.491.424
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;12/2019;39.229.023;114.177.799;369.982;217.436.119;528.191;371.741.114;202.896.547;27.019.438;13.149.546;136.043.588;3.390.047;6.695.232;186.297.850;51.777.000;812.712.511;14.104.411;171.575.538;998.392.459;303.901;133.785.687;1.132.482.047
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;12/2019;28.938.910;49.039.857;3.878.380;190.368.617;442.975;272.668.739;124.209.362;24.995.265;14.776.877;31.082.966;8.715.382;6.392.127;85.962.616;54.423.998;537.264.714;20.624.184;225.103.903;782.992.801;285.218;72.311.756;855.589.775
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;12/2019;0;0;0;0;7.810.072;7.810.072;4.767.842;0;0;2.499.234;9.152.762;0;11.651.996;210.905.616;235.135.527;157.066;388.062.605;623.355.197;0;104.810.592;728.165.789
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;12/2019;1.362.288;2.802.174;521.059;40.829.173;249.884;45.764.576;34.196.309;508.567;7.762.527;27.397.200;1.722.598;9.192.071;46.582.962;11.607.648;138.151.496;2.695.748;20.018.636;160.865.880;67.566;11.884.374;172.817.820
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;12/2019;670.711;0;261.935;22.160.780;0;23.093.426;35.023.275;2.419.028;1.734.056;8.992.294;8.986.967;176.404;22.308.749;4.186.989;84.612.439;5.908.156;49.976.790;140.497.385;139.045;21.333.190;161.969.621
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;12/2019;245.191;0;1.840.080;14.932.682;0;17.017.953;15.206.092;258.567;1.735.855;25.081.447;4.058.971;897.877;32.032.716;3.578.360;67.835.120;2.934.562;16.041.055;86.810.737;113.095;9.884.484;96.808.315
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;12/2019;5.531.768;0;4.695;14.848.625;158.532;20.543.620;8.650.867;0;33.876;214.003;0;628.235;876.114;17.086.721;47.157.322;6.869.207;28.604.696;82.631.225;47.736;9.511.485;92.190.446
