Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;12/2022;118.126.679;179.771.777;4.894.012;573.662.096;4.727.355;710.818;881.892.738;320.525.075;28.116.844;36.282.946;66.605.209;70.594.379;54.895.544;256.494.922;111.823.409;1.570.736.144;78.512.728;406.584.611;2.055.833.483;0;170.663.766;2.226.497.249
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;12/2022;107.713.789;213.435.806;23.921.286;421.183.165;416.476;10.741.159;777.411.681;577.682.289;12.197.438;122.248.775;4.486.508;27.507.851;38.486;166.479.060;64.386.266;1.585.959.295;3.045.463;266.870.761;1.855.875.519;0;154.151.007;2.010.026.526
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;12/2022;43.242.663;360.729.462;2.186.487;181.167.902;0;16.842.296;604.168.809;241.144.465;73.933.302;4.564.101;5.356.951;0;0;83.854.354;385.041.522;1.314.209.150;1.165.000;184.680.808;1.500.054.958;0;85.353.077;1.585.408.035
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;12/2022;56.881.748;134.624.479;1.553.495;401.758.905;1.037.691;844.649;596.700.967;253.209.175;51.258.545;31.176.213;104.356.931;12.390.829;33.659.703;232.842.221;56.600.798;1.139.353.161;11.536.080;201.837.843;1.352.727.084;0;155.730.318;1.508.457.402
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;12/2022;34.637.432;60.204.483;4.010.326;320.768.470;332.992;372.492;420.326.195;109.705.734;34.139.165;24.045.319;38.127.935;14.508.126;16.588.541;127.409.087;82.649.479;740.090.495;19.815.178;227.407.342;987.313.015;0;94.665.764;1.081.978.779
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;12/2022;0;0;648.491;0;0;5.564.147;6.212.638;36.452.105;0;0;0;8.075.445;749.341;8.824.786;83.166.495;134.656.025;93.828;417.680.187;552.430.039;0;131.347.185;683.777.224
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;12/2022;8.694.903;0;4.345.815;104.430.386;0;174.284;117.645.389;87.548.933;1.971.715;16.555.777;29.758.649;14.873.515;4.583.111;67.742.767;17.443.099;290.380.187;13.735.628;87.770.113;391.885.929;0;46.562.581;438.448.510
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;12/2022;2.364.936;4.104.959;1.554.652;68.537.689;253.184;243;76.815.663;24.612.986;574.019;21.589.476;41.215.698;1.840.213;7.898.784;73.118.190;16.812.986;191.359.824;9.295.823;28.363.728;229.019.375;0;18.355.534;247.374.910
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;12/2022;10.115.069;0;365.920;50.499.133;0;184.616;61.164.737;8.356.556;0;0;4.542.033;0;291.559;4.833.592;19.608.629;93.963.514;11.544.784;52.366.714;157.875.011;0;11.788.364;169.663.375
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;12/2022;109.664;26.530.271;15.407.755;5.322.052;0;0;47.369.742;31.015.145;0;25.796.909;5.990.646;0;0;31.787.555;24.631.860;134.804.302;368.547;11.724.933;146.897.782;0;3.558.638;150.456.420
