Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;03/2023;2.296.425.634;913.743.887;2.121.397.568;1.624.404.833;175.028.066;8.349.968;188.752.470;14,98%;20,42%;2.580;1.000
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;03/2023;2.092.967.664;915.278.843;1.933.708.118;1.673.767.846;159.259.546;8.341.838;179.258.403;16,19%;16,91%;3.989;583
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;03/2023;1.648.465.659;1.037.764.506;1.561.319.560;1.374.099.112;87.146.100;1.839.232;128.295.111;17,63%;9,27%;3.375;880
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;03/2023;1.533.402.963;642.803.007;1.377.164.911;1.153.058.624;156.238.051;4.288.975;142.648.106;15,09%;23,31%;2.901;1.235
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;03/2023;1.080.291.410;502.535.647;984.533.032;766.829.359;95.758.378;2.284.005;91.572.887;13,81%;19,64%;2.593;1.572
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;03/2023;685.821.532;303.456.185;553.768.203;130.013.749;132.053.329;3.962.687;170.997.253;33,07%;1,17%;5;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;03/2023;456.306.762;114.864.395;407.765.788;296.626.049;48.540.974;2.133.223;47.341.302;15,52%;29,79%;71;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;03/2023;244.017.826;106.559.512;220.118.867;179.038.592;23.898.959;575.684;29.877.654;18,41%;25,27%;132;4
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;03/2023;167.188.793;22.751.766;163.551.869;150.623.989;3.636.924;73.282;4.083.453;15,46%;2,30%;7;0
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;03/2023;160.255.050;28.293.321;147.902.240;91.636.347;12.352.810;432.764;12.106.081;14,08%;2,63%;57;8
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;03/2023;141.320.425;23.164.532;131.784.422;93.848.271;9.536.003;21.201;8.320.156;20,35%;2,83%;8;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;03/2023;132.523.047;71.851.988;118.464.384;90.653.330;14.058.663;316.314;11.243.980;14,18%;10,60%;9;19
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;;C;2;SAO PAULO;SP;03/2023;128.142.412;61.034.719;120.762.549;81.760.118;7.379.862;799.480;*;*%;*%;7;0
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;03/2023;119.160.063;3.225.187;110.699.281;60.274.164;8.460.782;-58.225;8.403.076;15,07%;1,13%;9;0
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;03/2023;112.553.971;50.087.668;103.076.279;86.521.197;9.477.692;212.973;9.195.254;17,13%;10,29%;501;128
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;03/2023;110.981.936;21.987.468;107.637.072;92.315.200;3.344.865;117.505;3.270.056;14,31%;14,15%;8;0
CIELO IP - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;03/2023;100.110.308;1.058.876;78.606.174;6.444.614;21.504.135;525.416;NA;NA%;NA%;1;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;03/2023;67.726.800;46.081.534;61.846.046;54.091.380;5.880.754;231.041;6.883.307;13,46%;16,16%;54;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;03/2023;67.087.007;13.386.294;62.910.576;26.133.316;4.176.431;-69.517;5.880.369;16,58%;1,29%;4;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;03/2023;66.143.765;13.868.485;56.647.463;21.114.718;9.496.301;502.553;11.327.242;13,37%;2,52%;296;2
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;03/2023;52.810.023;23.644.057;47.505.764;38.167.982;5.304.259;190.676;6.551.664;14,82%;0,55%;15;0
BANCO C6 - PRUDENCIAL;1000084844;b1;S3;C;2;SAO PAULO;SP;03/2023;49.114.845;34.003.623;45.839.784;36.539.611;3.275.061;-350.210;3.291.065;11,92%;6,86%;6;1
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;03/2023;48.860.146;2.292.762;47.447.333;8.292.587;1.412.813;14.061;1.386.250;24,58%;0,39%;2;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;03/2023;48.239.222;30.519.111;42.368.917;33.951.456;5.870.305;227.806;7.588.489;16,07%;0,23%;19;0
INTER - PRUDENCIAL;1000080996;b1;S3;C;2;BELO HORIZONTE;MG;03/2023;47.023.825;23.743.663;39.872.286;33.394.076;7.151.539;-7.457;5.829.384;23,00%;9,84%;21;0
PAGSEGURO - PRUDENCIAL;1000084813;b1;;C;2;SAO PAULO;SP;03/2023;43.904.722;1.391.123;32.410.020;19.983.983;11.494.702;173.322;*;*%;*%;6;0
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;03/2023;43.165.765;24.830.185;39.004.336;33.435.368;4.161.429;19.549;3.177.103;12,81%;38,74%;36;0
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;03/2023;42.700.268;32.174.483;40.069.608;34.957.203;2.630.660;74.497;3.729.071;14,91%;16,69%;128;105
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;03/2023;38.447.383;32.465.440;34.934.925;30.391.473;3.512.459;46.313;3.633.595;11,63%;0,21%;3;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;03/2023;38.141.212;20.550.619;32.984.695;10.656.517;5.156.517;286.687;4.967.021;12,83%;4,42%;119;0
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;03/2023;37.003.953;8.284.695;34.931.976;33.568.528;2.071.977;70.562;1.881.987;14,83%;10,98%;100;54
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;03/2023;35.387.762;555.900;33.722.300;3.596.651;1.665.461;4.133;1.639.804;36,34%;-1,28%;4;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;03/2023;35.346.625;1.193.354;30.586.275;15.254.585;4.760.350;251.789;4.756.380;20,42%;1,35%;3;0
BANCO ORIGINAL - PRUDENCIAL;1000080903;b1;S3;C;2;SAO PAULO;SP;03/2023;34.736.403;16.443.626;31.971.705;28.101.780;2.764.698;-822.003;2.656.639;12,78%;6,36%;9;0
HSBC BI - PRUDENCIAL;1000084741;b1;S3;I;3;SAO PAULO;SP;03/2023;30.233.696;1.731.142;29.197.436;4.621.087;1.036.260;-23.534;1.393.989;20,13%;6,50%;2;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;03/2023;29.030.536;6.713.659;22.530.699;10.419.800;6.499.837;92.233;6.024.571;24,19%;4,53%;10;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;03/2023;28.424.836;4.896.371;25.890.355;9.076.335;2.534.481;27.403;2.494.963;24,62%;0,48%;2;0
STONE IP - PRUDENCIAL;1000084686;n1;;C;2;SAO PAULO;SP;03/2023;28.396.859;243.362;22.140.802;3.998.442;6.256.057;101.801;*;*%;*%;3;0
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;03/2023;28.234.546;314.822;25.420.360;8.880.153;2.814.186;-41.836;2.812.037;20,22%;0,87%;4;0
MERCADO PAGO IP - PRUDENCIAL;1000084820;n1;;C;2;OSASCO;SP;03/2023;23.734.386;3.637.560;21.737.618;13.133.568;1.996.769;89.077;*;*%;*%;3;0
BANCO MASTER - PRUDENCIAL;1000080367;b1;S4;C;2;RIO DE JANEIRO;RJ;03/2023;23.724.636;14.623.556;21.606.262;20.845.618;2.118.374;70.936;1.259.824;11,56%;31,65%;8;5
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;03/2023;22.846.077;21.870.453;20.892.961;19.408.751;1.953.116;36.189;2.567.972;11,76%;0,09%;2;0
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;03/2023;22.750.064;1.063.407;17.921.007;6.533.118;4.829.057;72.271;4.781.274;22,75%;2,06%;4;0
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;03/2023;21.338.471;12.949.375;18.534.874;17.521.002;2.803.597;5.121;2.738.378;15,66%;15,38%;44;4
BOCOM - PRUDENCIAL;1000084624;b1;S3;C;3;SALVADOR;BA;03/2023;20.665.351;11.661.767;19.619.134;18.186.220;1.046.217;36.054;1.743.113;14,49%;0,80%;8;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;03/2023;19.483.214;16.267.257;15.527.081;14.393.528;3.956.133;117.929;3.942.909;20,25%;1,04%;4;0
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;03/2023;19.398.060;10.466.219;18.317.109;15.513.904;1.080.951;-17.534;1.939.887;15,56%;0,45%;14;0
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;03/2023;19.059.129;0;6.443.564;108;12.615.565;188;NI;NI%;NI%;2;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO BERNARDO DO CAMPO;SP;03/2023;18.982.413;18.177.815;16.655.309;16.184.709;2.327.104;34.600;2.318.041;11,85%;0,41%;4;0
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;03/2023;18.001.778;6.213.043;17.106.022;14.655.395;895.756;30.587;915.643;11,12%;14,30%;5;0
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;I;3;INDAIATUBA;SP;03/2023;16.903.278;16.427.425;14.855.009;14.707.244;2.048.269;44.975;2.027.898;12,10%;0,23%;2;0
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;03/2023;16.501.279;16.326.019;13.310.789;3.387.096;3.190.490;17.360;2.399.666;16,40%;7,72%;2;0
MIZUHO - PRUDENCIAL;1000080697;b1;S4;C;3;SAO PAULO;SP;03/2023;16.365.042;2.939.346;15.406.176;8.457.742;958.866;24.895;928.708;16,51%;2,35%;2;0
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;C;3;SAO PAULO;SP;03/2023;16.092.168;2.642.060;13.605.216;5.765.482;2.486.952;9.191;2.455.463;29,48%;1,17%;2;0
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S3;I;2;BELO HORIZONTE;MG;03/2023;15.720.973;147.937;14.813.435;281.101;907.539;28.046;491.930;14,38%;16,05%;0;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S3;C;2;SAO PAULO;SP;03/2023;15.720.333;15.170.862;14.295.615;3.304.237;1.424.718;15.778;2.017.687;13,10%;7,17%;5;0
