Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;03/2021;39.284.702;251.125.203;509.999.502;647.648.704;-47.978.544;599.670.160;9.504.461;388.591;168.113;-367.609;9.693.556;302.118.188;140.761.175;59.425.817;1.912.078.303;168.113;1.911.910.190
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;03/2021;31.312.469;569.493.984;284.412.335;640.523.367;-42.610.830;597.912.537;22.719;268.646;95.004;-3.340;383.030;224.096.900;74.236.599;33.365.303;1.815.213.158;95.004;1.815.118.154
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;03/2021;16.490.429;163.783.058;269.161.340;793.167.429;-34.822.352;758.345.078;0;0;0;0;0;93.936.823;114.847.384;19.476.374;1.436.040.486;0;1.436.040.486
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;03/2021;25.236.735;133.966.175;399.537.991;459.889.627;-43.055.872;416.833.755;19.306;3.930.039;1.290.865;-67.978;5.172.233;236.614.713;95.008.235;65.587.856;1.377.957.692;1.290.865;1.376.666.827
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;03/2021;14.479.582;79.628.820;257.711.603;352.770.126;-24.318.953;328.451.174;7.216;4.604.193;2.112.900;-31.457;6.692.852;192.247.747;96.731.487;18.576.108;994.519.373;2.112.900;992.406.473
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;03/2021;128.001;83.719.346;162.357.352;300.525.476;-18.447.079;282.078.396;0;0;0;0;0;32.394.592;165.366.929;11.192.404;737.237.020;0;737.237.020
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;03/2021;2.576.955;47.926.152;82.962.567;52.037.161;-1.196.133;50.841.028;0;0;0;0;0;69.261.424;7.155.898;15.219.579;275.943.603;0;275.943.603
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;03/2021;1.829.901;9.533.666;94.312.543;80.932.691;-3.218.820;77.713.870;1.678;1.344.099;436.838;-3.483;1.779.132;17.775.619;18.555.761;7.028.251;228.528.744;436.838;228.091.906
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;03/2021;142.684;11.127.569;38.935.683;54.493.500;-3.713.407;50.780.093;23;70.052;4.013;-312;73.775;16.493.473;1.233.518;2.530.492;121.317.289;4.013;121.313.276
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;03/2021;39.742;44.251.421;43.884.954;2.543.544;-152.778;2.390.766;0;0;0;0;0;29.424.522;7.129;86.291;120.084.825;0;120.084.825
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;03/2021;4.443.710;12.123.948;42.082.599;13.764.567;-160.622;13.603.945;-181;66.194;17.623;-460;83.175;38.773.572;5.135.742;378.438;116.625.128;17.623;116.607.506
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;03/2021;1.457.540;8.335.935;34.348.619;34.397.499;-2.543.413;31.854.087;43;46.674;29.132;-6.029;69.820;7.193.486;10.789.607;1.470.581;95.519.676;29.132;95.490.544
