Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;12/2020;147.306.968;179.475.742;3.429.960;510.141.470;71.123;595.207;841.020.471;302.863.184;4.205.376;14.285.424;43.588.970;62.571.158;11.986.904;136.637.832;81.390.872;1.361.912.358;110.447.844;319.058.565;1.791.418.767;2.944.910;147.568.588;1.941.932.265
BB;49906;b1;S1;C;1;BRASILIA;DF;12/2020;97.963.390;219.396.331;25.686.889;275.563.784;460.924;8.786.846;627.858.163;512.430.115;12.437.868;74.210.446;377.540;31.391.148;2.563;118.419.565;73.884.058;1.332.591.901;3.049.843;260.304.718;1.595.946.462;203.990;117.196.353;1.713.346.806
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;12/2020;57.312.837;389.770.833;167.835;160.242.446;0;12.087.613;619.581.564;194.482.127;36.463.853;184.451;1.645.401;2.722.441;1.060.314;42.076.461;342.073.151;1.198.213.303;1.796.309;179.982.202;1.379.991.814;7.925.000;61.013.005;1.448.929.819
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;12/2020;54.950.325;136.698.248;1.009.355;360.768.574;313.310;385.387;554.125.199;262.794.482;27.601.334;14.694.483;97.808.480;11.232.513;9.793.791;161.130.600;47.758.627;1.025.808.908;17.407.656;180.743.745;1.223.960.309;180.945;146.838.839;1.370.980.093
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;12/2020;41.729.550;63.306.504;4.565.379;282.200.212;2;534.625;392.336.273;159.605.962;25.710.531;14.746.831;16.179.027;30.233.240;4.592.102;91.461.731;67.133.932;710.537.898;35.466.521;176.359.085;922.363.504;351.214;81.279.182;1.003.993.899
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;12/2020;0;0;23.392;0;0;7.182.380;7.205.772;79.720.758;0;0;1.004.450;8.385.577;1.552.182;10.942.210;214.944.093;312.812.833;16.272;372.533.211;685.362.316;0;113.002.516;798.364.832
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;12/2020;2.782.581;0;1.569.296;58.241.988;0;0;62.593.864;61.786.190;2.600.093;2.761.719;23.718.573;12.605.934;231.761;41.918.079;6.591.361;172.889.494;28.743.562;37.735.644;239.368.701;264.589;26.685.377;266.318.667
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;12/2020;1.811.454;4.104.127;571.098;71.114.604;374.506;17;77.975.806;36.696.976;549.543;9.977.938;29.043.594;2.274.175;4.834.027;46.679.276;16.337.901;177.689.959;5.560.057;21.409.902;204.659.918;73.075;13.677.911;218.410.904
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;12/2020;433.997;0;4.042.751;21.720.834;0;0;26.197.582;15.639.154;190.375;1.439.983;30.288.164;8.230.537;5.462;40.154.521;3.745.402;85.736.658;4.629.350;16.703.871;107.069.880;104.915;10.753.716;117.928.511
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;12/2020;8.886.746;0;42.952;23.658.573;0;222.195;32.810.466;4.290.496;0;0;219.179;0;349.471;568.650;19.641.250;57.310.863;8.488.759;27.966.869;93.766.491;39.348;10.302.760;104.108.599
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;12/2020;240.211;0;171.127;11.625.406;0;0;12.036.745;7.449.724;0;0;0;0;402.425;402.425;48.011.214;67.900.107;10.371.061;7.585.025;85.856.194;1.902;5.948.918;91.807.013
