Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
BANCOOB;51750;b1;S3;C;2;BRASILIA;DF;12/2019;52.351;6.507.726;30.674.125;645.858;0;37.880.060;3.940.599;0;111.639;0;0;0;111.639;3.089.779;45.022.077;86;6.839.243;51.861.406;256;1.916.332;53.777.994
CREDIT SUISSE;30771;b1;S3;C;3;SAO PAULO;SP;12/2019;27.695;0;0;953.695;0;981.390;8.563.724;0;0;446.946;0;1.390.965;1.837.911;6.707.614;18.090.638;7.450.917;22.041.429;47.582.984;49.359;4.544.989;52.177.332
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;12/2019;320.066;0;109.127;5.721.554;0;6.150.747;10.101.130;0;0;0;0;394.602;394.602;15.328.827;31.975.306;4.442.651;5.898.012;42.315.969;1.741;5.484.686;47.802.395
BNP PARIBAS;51516;b1;S3;C;3;SAO PAULO;SP;12/2019;434.067;0;19.342;4.175.007;210.463;4.838.879;3.001.969;0;424.022;2.926.017;0;2.066.361;5.416.399;7.071.497;20.328.743;3.005.727;16.464.421;39.798.891;23.513;4.378.183;44.200.588
ING;51073;b1;S3;C;3;SAO PAULO;SP;12/2019;463;0;15.002;2.143.570;0;2.159.036;0;0;0;0;0;0;0;9.626.826;11.785.862;498.085;27.229.606;39.513.552;2.630;988.752;40.504.934
ABC-BRASIL;41856;b1;S3;C;3;SAO PAULO;SP;12/2019;232.584;0;302.480;5.158.675;0;5.693.739;1.092.483;1.054.754;2.658.813;5.760.928;0;31.149;9.505.644;8.446.668;24.738.533;761.626;6.691.838;32.191.997;22.727;4.040.732;36.255.456
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;12/2019;1.081.988;0;248.366;7.048.185;16.601;8.395.141;2.517.947;845.897;783.282;9.588.531;1.411.543;0;12.629.252;3.687.402;27.229.743;100.975;4.452.536;31.783.254;81.730;3.695.159;35.560.143
PAN;31323;b1;S3;C;2;SAO PAULO;SP;12/2019;26.609;0;8.365.928;11.701.147;0;20.093.685;303.856;336.211;0;1.532.113;0;0;1.868.324;0;22.265.865;124.979;5.776.440;28.167.283;2;4.926.169;33.093.454
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;S3;I;3;SAO PAULO;SP;12/2019;10.381;0;0;119.477;0;129.859;256.926;2.087.123;597.204;156.831;0;0;2.841.158;19.907.722;23.135.664;469.041;5.033.486;28.638.191;109;3.527.465;32.165.765
XP;52120;b1;S4;C;2;RIO DE JANEIRO;RJ;12/2019;0;0;0;4;0;4;16.084.549;0;0;0;0;19.474;19.474;52.668;16.156.695;548.829;10.243.122;26.948.646;5.147;2.442.111;29.395.904
