Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;09/2021;41.519.670;238.415.398;551.121.826;662.482.156;-39.942.395;622.539.762;8.430.458;447.259;157.521;-243.553;8.791.685;296.142.503;116.285.693;99.067.117;1.973.883.655;157.521;1.973.726.134
BB;49906;b1;S1;C;1;BRASILIA;DF;09/2021;21.784.434;634.068.921;308.850.396;675.332.927;-41.892.412;633.440.515;65.294;291.926;101.261;-3.009;455.472;237.361.424;87.268.479;37.113.366;1.960.343.007;101.261;1.960.241.747
CAIXA ECONÔMICA FEDERAL;51626;b1;S1;C;1;BRASILIA;DF;09/2021;12.140.703;170.577.291;288.391.447;832.287.538;-36.740.834;795.546.705;0;0;0;0;0;89.464.148;109.037.869;19.915.144;1.485.073.307;0;1.485.073.307
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;09/2021;27.060.262;106.464.737;429.301.961;491.754.484;-41.726.362;450.028.123;29.154;4.546.801;1.487.401;-63.180;6.000.176;262.958.106;103.348.081;87.969.112;1.473.130.556;1.487.401;1.471.643.155
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;09/2021;15.263.511;49.299.674;280.245.260;375.646.283;-24.858.619;350.787.664;5.185;4.666.548;2.105.868;-29.025;6.748.577;181.702.628;85.149.489;22.122.025;991.318.828;2.105.868;989.212.960
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;09/2021;1.492;73.354.684;119.219.278;271.038.133;-18.134.154;252.903.979;0;0;0;0;0;18.876.868;173.056.178;118.267.066;755.679.545;0;755.679.545
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;09/2021;2.559.002;53.003.411;180.043.958;87.652.636;-2.934.064;84.718.572;0;0;0;0;0;48.085.942;11.521.637;15.226.222;395.158.744;0;395.158.744
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;09/2021;1.384.659;6.546.991;93.724.210;84.543.135;-3.210.335;81.332.800;3.968;1.308.004;449.901;-6.906;1.754.967;22.149.914;24.966.921;7.158.000;239.018.461;449.901;238.568.560
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;09/2021;1.870.241;30.012.699;43.442.499;12.152.404;-105.470;12.046.934;-147;43.843;17.073;-237;60.533;42.724.448;6.917.042;438.584;137.512.980;17.073;137.495.907
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;09/2021;257.781;7.568.208;39.564.257;56.907.118;-3.901.073;53.006.045;11;67.421;5.355;-307;72.480;15.261.703;2.092.616;2.745.844;120.568.935;5.355;120.563.579
