Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;06/2022;33.126.413;235.274.421;586.821.028;730.871.537;-43.388.145;687.483.393;7.649.037;280.041;129.296;-172.193;7.886.181;322.755.817;121.832.213;110.866.952;2.106.046.418;129.296;2.105.917.122
BB;49906;b1;S1;C;1;BRASILIA;DF;06/2022;31.050.116;539.505.637;408.989.018;728.967.621;-41.497.147;687.470.474;59.348;392.712;138.874;-2.448;588.487;254.805.294;114.454.088;39.291.312;2.076.154.425;138.874;2.076.015.551
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;06/2022;23.678.826;103.390.999;411.012.497;527.961.784;-46.249.080;481.712.704;28.880;5.189.087;1.856.130;-50.000;7.024.097;271.437.110;105.608.361;90.014.531;1.493.879.125;1.856.130;1.492.022.995
CAIXA ECONÔMICA FEDERAL;51626;b1;S1;C;1;BRASILIA;DF;06/2022;12.437.678;131.931.045;250.127.491;915.351.382;-41.995.194;873.356.188;0;0;0;0;0;98.912.251;107.506.724;15.902.589;1.490.173.965;0;1.490.173.965
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;06/2022;10.125.628;63.107.419;263.025.959;392.017.757;-29.192.089;362.825.668;3.677;5.075.872;2.370.211;-25.337;7.424.423;187.226.546;94.323.665;25.653.759;1.013.713.066;2.370.211;1.011.342.855
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;06/2022;139.306;52.658.114;146.894.501;273.926.586;-14.037.764;259.888.822;0;0;0;0;0;13.274.277;172.596.956;114.062.307;759.514.283;0;759.514.283
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;06/2022;2.161.767;51.702.246;159.873.149;101.522.953;-3.655.736;97.867.218;0;0;0;0;0;98.954.810;17.864.980;19.397.573;447.821.742;0;447.821.742
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;06/2022;2.131.002;11.863.109;69.824.067;94.774.288;-4.335.183;90.439.105;12.379;1.514.070;499.957;-8.838;2.017.567;30.129.301;29.625.956;7.864.362;243.894.469;499.957;243.394.512
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;06/2022;5.919.085;23.713.274;56.141.161;12.747.931;-88.988;12.658.943;-98;17.171;674;-980;16.767;44.922.659;8.877.283;476.481;152.725.654;674;152.724.980
XP;52120;b1;S3;C;2;RIO DE JANEIRO;RJ;06/2022;1.310.168;15.292.325;73.724.079;12.922.109;-13.096;12.909.013;0;0;0;0;0;15.313.054;3.821.716;606.171;122.976.525;0;122.976.525
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S3;I;2;PORTO ALEGRE;RS;06/2022;484.218;24.574.305;23.644.740;17.930.638;-12.059;17.918.579;0;0;0;0;0;7.592.829;48.064.742;165.960;122.445.374;0;122.445.374
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;06/2022;187.058;6.515.498;40.108.537;57.490.920;-4.422.311;53.068.609;-205;47.871;3.735;-201;51.200;17.533.867;2.797.810;2.175.107;122.437.686;3.735;122.433.951
