Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BB;49906;b1;S1;C;1;BRASILIA;DF;03/2022;22.364.940;36.616;21.985.462;-2.524.773;3.775.805;1.154.654;46.792.703;-30.686.250;-741.850;-24.845;0;-4.412.013;-35.864.958;10.927.745;3.813.441;2.080.875;-5.362.988;-3.027.986;-1.241.445;1.903.471;53.336.989;-54.242.813;-2.740.456;8.187.289;194.735;8.382.024;-849.869;-851.177;6.680.978;0
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;03/2022;24.759.903;415.297;15.958.275;-545.218;0;1.617.548;42.205.805;-21.835.609;-879.696;-315.835;-3.058.241;-6.393.568;-32.482.948;9.722.857;3.651.950;2.707.632;-4.598.140;-4.942.040;-1.544.478;3.620.812;23.132.735;-23.588.288;-1.559.818;8.163.039;35.355;8.198.394;-1.116.472;0;7.081.922;0
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;03/2022;25.734.471;204.623;14.585.130;-9.637.486;0;2.026.357;32.913.095;-21.347.246;-1.263.628;-16.537;-1.530.089;-6.143.582;-30.301.084;2.612.011;6.530.797;2.965.947;-5.586.392;-5.383.749;-1.981.027;-943.645;89.134.147;-74.789.733;9.946.345;12.558.356;563.930;13.122.286;-1.261.410;-4.580.705;7.280.170;0
CAIXA ECONÔMICA FEDERAL;51626;b1;S1;C;1;BRASILIA;DF;03/2022;20.750.678;0;8.486.328;819.836;0;1.692.153;31.748.995;-15.574.777;-5.595.812;0;-280.816;-3.190.298;-24.641.703;7.107.292;4.377.415;1.330.865;-6.058.079;-1.962.609;-909.697;492.927;2.120.790;-4.921.227;-5.529.614;1.577.679;490.353;2.068.032;586.282;-342.234;2.312.079;0
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;03/2022;23.217.747;388.968;15.359.637;-11.984.581;0;1.422.027;28.403.797;-15.487.385;-1.022.939;-321.611;-871.785;-4.943.575;-22.647.294;5.756.503;2.815.956;1.267.833;-1.715.809;-2.591.805;-1.319.701;816.560;14.685.434;-14.399.270;-440.802;5.315.701;387.704;5.703.404;-1.162.019;-545.520;3.995.866;0
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;03/2022;5.127.512;0;2.608.178;175.131;2.167.829;293.425;10.372.075;-6.352.370;-1.771.880;0;0;-758.608;-8.882.858;1.489.217;1.346.398;179.502;-600.890;-2.525.835;-199.185;248.090;4.628.807;-2.399.812;677.075;2.166.292;929.866;3.096.158;-687.549;-466.024;1.942.585;0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;03/2022;7.700.360;0;4.120.996;-3.451.031;0;0;8.370.324;-2.496.274;-3.565.850;0;-5.195;-1.301.579;-7.368.898;1.001.426;126.308;0;-283.143;-54.037;-156.976;11.673.698;5.043.252;-2.676.530;13.672.572;14.673.998;-1.761;14.672.236;-1.770.292;0;12.901.944;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;03/2022;3.443.945;132.641;2.700.971;-494.942;0;241.888;6.024.503;-3.821.447;-152.731;-103.038;-471.599;-923.770;-5.472.586;551.918;443.073;155.984;-749.172;-787.114;-160.939;366.083;9.915.923;-9.368.802;-184.966;366.952;4.366;371.318;130.097;0;501.415;0
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;03/2022;3.098.501;10.411;940.403;-1.229.585;0;35.393;2.855.122;-2.222.661;-45.679;-7.031;-155.563;-780.086;-3.211.020;-355.898;168.840;159.533;-384.168;-456.801;-127.665;98.553;3.560.609;-2.129.158;889.744;533.845;4.700;538.545;-85.532;-65.217;387.796;0
NUBANK;52058;n1;S3;C;2;SAO PAULO;SP;03/2022;2.029.633;0;648.973;27.067;0;129.699;2.835.373;-1.108.231;0;0;0;-1.026.698;-2.134.930;700.443;10.996;1.603;-101.556;-285.058;-94.132;42;285.355;-86.000;-268.750;431.694;0;431.694;-169.194;-10.820;251.680;0
XP;52120;b1;S3;C;2;RIO DE JANEIRO;RJ;03/2022;314.319;0;2.257.801;186.210;51.306;0;2.809.636;-1.799.839;-3.885;0;0;-14.820;-1.818.543;991.092;776.943;311.132;-454.221;-1.102.438;-104.230;5.021;237.780;-507.463;-837.476;153.616;362;153.978;31.923;-251.796;-65.895;0
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;03/2022;1.572.865;2.295;1.067.404;-557.472;0;228.465;2.313.558;-1.716.241;-104.356;-1.732;-83.058;-42.344;-1.947.731;365.827;25.433;203.425;-454.280;-386.723;-72.211;142.991;823.790;-521.919;-239.494;126.333;-4.136;122.197;91.671;-49.775;164.093;0
BMG;30290;b1;S3;C;2;SAO PAULO;SP;03/2022;1.089.674;0;388.393;382.821;298.028;0;2.158.917;-558.892;-13.504;0;0;-252.426;-824.821;1.334.096;16.670;6.019;-83.104;-434.662;-42.555;11.922;136.430;-879.668;-1.268.948;65.147;64;65.212;33.993;-50.898;48.307;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;I;1;FORTALEZA;CE;03/2022;708.645;0;1.074.754;-27.715;2.613;4.721;1.763.017;-296.432;-591.124;0;0;-107.512;-995.069;767.949;663.721;33.108;-587.793;-378.796;-109.457;0;824.055;-411.755;33.084;801.033;3.862;804.895;-371.270;-24.732;408.893;0
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;03/2022;264.869;4.350;1.297.035;-2.014.289;1.983.982;127.284;1.663.231;-918.123;-64.847;-3.625;0;1.157;-985.438;677.793;308.903;11.307;-226.379;-197.445;-61.629;0;1.202.926;-905.165;132.518;810.311;665;810.976;-339.752;-41.890;429.334;0
BANCO SICOOB;51750;b1;S3;C;2;BRASILIA;DF;03/2022;616.899;0;863.158;1.710;1.624;33.469;1.516.861;-1.315.703;-42.497;0;0;-37.755;-1.395.954;120.906;300.796;40;-41.920;-96.641;-45.853;54.463;177.206;-289.660;58.431;179.337;39;179.376;-54.209;-4.283;120.884;0
BRB;31976;b1;S3;C;1;BRASILIA;DF;03/2022;916.892;0;304.538;0;0;10.001;1.231.432;-662.442;-16.697;0;-66;-95.130;-774.336;457.097;24.153;39.734;-254.575;-173.106;-31.670;34.038;24.550;-79.425;-416.301;40.796;49.452;90.248;-8.130;-11.453;70.666;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S3;I;2;PORTO ALEGRE;RS;03/2022;937.567;0;757.440;-563.715;23.332;63.453;1.218.077;-1.361.733;-165.192;0;0;-5.189;-1.532.113;-314.036;18.896;1.299;-25.141;-237.636;-39.166;3.923;708.459;-92.060;338.574;24.537;64;24.601;-8.812;-1.924;13.865;0
C6 BANK;52072;b1;S4;C;2;SAO PAULO;SP;03/2022;669.720;0;293.835;143.905;12.273;0;1.119.733;-446.047;-17;0;0;-304.630;-750.695;369.038;115.702;9.966;-145.045;-398.264;-29.427;-26.915;66.912;-311.272;-718.343;-349.304;72;-349.232;162.778;-58.027;-244.481;0
ORIGINAL;51781;b1;S3;C;2;SAO PAULO;SP;03/2022;899.360;0;222.376;-22.758;1.677;0;1.100.656;-427.766;0;0;0;-575.123;-1.002.889;97.767;118.912;29.105;-102.042;-246.823;-45.791;-3.909;76.213;-119.301;-293.636;-195.869;88;-195.780;116.208;-42.928;-122.500;0
OMNI;50940;b1;S4;C;2;SAO PAULO;SP;03/2022;1.051.967;2.344;30.587;-21.404;0;0;1.063.494;-139.361;-5.278;-1.424;0;-226.637;-372.700;690.793;38.885;50.790;-28.977;-180.848;-25.344;6.435;40.298;-599.479;-698.239;-7.446;24;-7.422;18.213;0;10.791;0
BANESTES;30159;b1;S3;C;1;VITORIA;ES;03/2022;263.725;81;693.136;0;0;11.840;968.782;-688.888;-226;-73;-79;-43.219;-732.485;236.296;37.872;47.363;-91.009;-75.120;-21.341;9.738;14.566;-28.962;-106.893;129.404;-624;128.780;-40.845;-6.662;81.273;0
BANCO VOLKSWAGEN S.A.;59109165;b2;S3;I;3;SAO PAULO;SP;03/2022;899.529;5.873;31.319;19.155;0;0;955.876;-523.300;-62.454;-4.750;0;-126.813;-717.316;238.560;0;21.738;-1.215;-67.434;-28.369;20.092;57.777;-202.521;-199.932;38.627;-3.575;35.052;-14.399;0;20.653;0
BANCO CSF S.A.;8357240;b2;S3;I;3;SAO PAULO;SP;03/2022;854.605;0;13.688;0;0;0;868.293;-61.139;0;0;0;-592.778;-653.917;214.376;193.189;152.664;-45.699;-267.444;-68.000;19.779;15.339;-119.821;-119.994;94.382;0;94.382;-36.488;0;57.895;0
INTER;51884;b1;S3;C;2;BELO HORIZONTE;MG;03/2022;454.586;0;377.285;17.501;8.827;0;858.199;-336.522;-2.767;0;0;-230.120;-569.409;288.789;154.603;4.887;-131.354;-305.753;-35.339;39.828;79.416;-169.009;-362.721;-73.932;39.613;-34.318;51.457;0;17.139;0
BOFA MERRILL LYNCH;51255;b1;S3;C;3;SAO PAULO;SP;03/2022;24.311;0;553.624;93.845;184.533;0;856.314;-211.098;-114;0;0;-289;-211.501;644.813;316.174;1.862;-210.815;-55.000;-28.675;0;44.934;-326.132;-257.651;387.162;0;387.162;-161.323;0;225.839;0
MERCANTIL DO BRASIL;20152;b1;S3;C;2;BELO HORIZONTE;MG;03/2022;733.492;0;46.704;24.068;0;1.597;805.861;-224.054;-244;0;-3.169;-106.819;-334.287;471.574;17.566;50.862;-112.587;-217.241;-33.367;16.562;157.202;-285.402;-406.404;65.170;780;65.950;-10.686;-8.121;47.143;0
AGIBANK;51956;b1;S4;C;2;CAMPINAS;SP;03/2022;654.306;0;36.499;17.110;0;0;707.915;-204.624;-7;0;0;-133.971;-338.601;369.314;2.965;9.306;-19.822;-318.988;-24.632;23.395;742;-9.651;-336.684;32.630;215;32.844;-3.286;-2.250;27.308;0
BANCO DA AMAZONIA S.A.;4902979;b1;S3;I;1;BELEM;PA;03/2022;313.015;0;357.273;0;0;0;670.288;-133.265;-204.790;0;-9.455;-86.261;-433.770;236.518;193.227;43.544;-159.897;-71.198;-35.531;0;353.523;-179.920;143.749;380.266;155;380.421;-163.572;0;216.850;0
