Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;09/2020;139.609.937;172.397.175;3.822.990;483.940.941;52.211;604.787;800.428.042;345.602.903;3.349.297;17.592.523;45.387.814;63.891.415;9.561.746;139.782.795;89.574.988;1.375.388.728;114.586.906;329.875.383;1.819.851.017;2.987.447;142.398.624;1.965.237.087
BB;49906;b1;S1;C;1;BRASILIA;DF;09/2020;90.224.740;210.008.950;28.280.361;260.962.063;390.773;8.449.615;598.316.503;577.066.915;12.524.432;73.352.330;535.335;34.850.282;2.340;121.264.719;74.653.429;1.371.301.566;5.012.031;266.256.073;1.642.569.670;211.798;112.584.639;1.755.366.107
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;09/2020;54.079.612;387.614.419;260.280;169.332.413;0;10.743.396;622.030.120;209.256.078;41.694.056;248.986;1.598.562;2.978.966;958.958;47.479.528;335.776.182;1.214.541.908;1.530.639;198.295.514;1.414.368.062;950.000;57.154.713;1.472.472.775
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;09/2020;50.154.402;129.669.702;1.268.547;347.696.231;302.151;424.449;529.515.481;281.860.180;26.305.674;16.256.339;108.227.899;12.006.942;8.900.167;171.697.021;51.832.800;1.034.905.482;24.355.901;202.459.617;1.261.720.999;198.874;139.275.103;1.401.194.976
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;09/2020;43.079.440;59.443.489;5.571.401;277.587.168;3;529.056;386.210.558;124.309.535;26.162.840;15.062.524;18.015.495;31.265.696;4.953.501;95.460.056;67.486.158;673.466.306;39.962.127;199.108.670;912.537.103;573.099;79.137.908;992.248.111
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;09/2020;0;0;0;0;0;6.656.302;6.656.302;64.320.163;0;0;640.380;9.038.845;1.670.933;11.350.158;233.394.787;315.721.410;402.849;359.585.173;675.709.432;0;104.454.384;780.163.816
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;09/2020;2.147.235;0;768.838;53.859.515;0;0;56.775.588;57.547.866;2.854.478;2.019.425;22.540.165;13.563.586;242.937;41.220.591;5.058.201;160.602.246;41.891.212;56.319.167;258.812.625;282.667;25.997.825;285.093.116
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;09/2020;1.276.543;3.841.656;503.691;62.386.836;289.397;18;68.298.142;28.692.047;582.362;9.599.070;23.607.227;2.444.481;4.955.944;41.189.085;14.295.858;152.475.132;6.888.015;21.754.857;181.118.003;74.821;13.063.056;194.255.880
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;09/2020;331.663;0;4.306.363;21.271.712;0;0;25.909.738;16.067.181;182.290;1.450.711;25.755.973;8.314.824;9.595;35.713.393;4.517.460;82.207.771;6.896.513;21.451.350;110.555.635;119.429;10.652.101;121.327.165
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;09/2020;166.971;0;158.782;10.048.931;0;0;10.374.684;8.484.329;0;0;0;0;430.142;430.142;61.037.188;80.326.344;12.757.030;17.654.058;110.737.431;1.597;5.808.088;116.547.116
