Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BB;49906;b1;S1;C;1;BRASILIA;DF;03/2020;29.186.607;25.434;12.754.979;3.501.494;509.816;499.874;46.478.204;-11.663.538;-28.766.297;-17.486;0;-6.599.158;-47.046.478;-568.274;3.229.762;2.610.102;-5.548.270;-2.875.900;-692.590;5.232.472;2.783.903;-3.123.540;1.615.939;1.047.665;2.209;1.049.873;2.605.808;-413.756;3.241.925;0
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;03/2020;25.926.947;331.360;12.726.836;-8.746.675;5.809.748;823.639;36.871.855;-25.367.815;-26.425.761;-156.064;0;-11.036.144;-62.985.784;-26.113.929;6.120.430;3.164.931;-4.375.181;-5.112.087;-1.302.631;7.955.019;22.308.756;-11.276.689;17.482.546;-8.631.383;333.631;-8.297.752;14.351.970;-4.220.914;1.833.304;0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;03/2020;17.784.829;0;10.064.088;6.088.844;650.447;0;34.588.208;-606.115;-22.641.001;0;0;-1.868.052;-25.115.168;9.473.040;63.817;0;-275.983;-57.053;-177.183;519.024;286.811;-299.828;59.606;9.532.645;7.218;9.539.863;-3.995.409;0;5.544.454;0
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;03/2020;17.256.815;0;5.065.187;-695.000;485.451;1.281.983;23.394.436;-7.442.374;-5.329.208;0;0;-2.011.288;-14.782.869;8.611.568;4.213.847;1.580.548;-5.209.363;-2.295.869;-896.811;548.755;1.769.111;-4.593.769;-4.883.551;3.728.016;61.068;3.789.084;-493.421;-371.834;2.923.829;0
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;03/2020;13.867.319;394.903;6.604.467;283.951;0;662.271;21.812.911;-16.215.775;-13.449.477;-320.923;-3.630.329;-3.327.056;-36.943.560;-15.130.649;2.586.553;1.251.973;-1.716.639;-2.605.575;-356.277;494.503;21.875.657;-13.115.015;8.415.180;-6.715.470;211.033;-6.504.437;10.868.990;-452.643;3.911.911;0
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;03/2020;19.274.486;341.248;8.349.466;-14.280.467;6.061.337;794.009;20.540.079;-9.218.043;-27.796.731;-278.746;0;-7.349.485;-44.643.006;-24.102.926;3.250.711;2.900.790;-4.749.759;-5.322.518;-415.711;20.515.000;2.155.297;-5.853.994;12.479.816;-11.623.110;-5.469;-11.628.579;15.053.454;0;3.424.876;0
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;03/2020;3.902.552;25.067;1.961.867;415.256;244.365;17.930;6.567.037;-3.417.045;-1.605.728;-22.117;0;-954.195;-5.999.085;567.952;136.307;219.953;-264.317;-360.858;-108.344;88.670;327.675;-714.758;-675.674;-107.722;-2.848;-110.569;411.854;-80.120;221.165;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;S3;I;3;SAO PAULO;SP;03/2020;3.974.760;0;217.513;873.042;1.231.448;0;6.296.762;-34.387;-5.857.501;0;0;-194.485;-6.086.372;210.390;29.196;788;-56.246;-43.296;-15.529;0;168;-19.796;-104.715;105.676;-25;105.650;-44.473;-5.725;55.452;0
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;03/2020;40.534;0;404.099;4.819.144;595.726;0;5.859.502;-171.699;-5.345.407;0;0;-38.625;-5.555.731;303.771;204.003;267;-235.975;-58.147;-55.543;0;147.555;-4.654;-2.493;301.278;0;301.278;-131.755;-6.022;163.502;0
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;03/2020;879.599;11.088;983.842;2.606.210;0;24.810;4.505.549;-589.104;-1.729.211;-9.465;-1.561.861;-35.760;-3.925.401;580.148;284.991;17.136;-184.583;-171.278;-44.656;0;253.262;-272.357;-117.486;462.662;2.351;465.013;-137.897;-30.654;296.463;0
