Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BB;49906;b1;S1;C;1;BRASILIA;DF;03/2022;17.169.588;595.602.226;361.340.360;707.004.686;-41.738.807;665.265.879;58.016;385.818;140.074;-2.857;581.050;245.767.465;97.774.535;39.142.241;2.022.643.345;140.074;2.022.503.271
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;03/2022;42.216.696;240.088.137;538.952.393;694.643.445;-42.018.630;652.624.816;7.656.270;381.895;128.859;-179.902;7.987.122;297.771.786;123.456.973;105.282.235;2.008.380.157;128.859;2.008.251.298
CAIXA ECONÔMICA FEDERAL;51626;b1;S1;C;1;BRASILIA;DF;03/2022;10.946.925;164.405.286;251.321.633;877.364.886;-39.406.909;837.957.976;0;0;0;0;0;94.126.695;108.273.608;16.590.748;1.483.622.872;0;1.483.622.872
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;03/2022;18.180.162;124.769.172;387.577.172;513.902.092;-43.848.530;470.053.562;19.192;4.993.593;1.737.940;-52.273;6.698.452;263.206.127;101.078.404;88.893.109;1.460.456.159;1.737.940;1.458.718.219
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;03/2022;7.761.163;53.920.488;277.327.481;378.948.710;-26.914.345;352.034.365;3.867;4.737.590;2.132.285;-23.825;6.849.917;177.819.631;88.995.516;24.129.352;988.837.915;2.132.285;986.705.630
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;03/2022;360.907;84.989.543;126.761.618;267.429.072;-19.295.696;248.133.376;0;0;0;0;0;20.685.719;171.419.480;132.240.697;784.591.339;0;784.591.339
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;03/2022;3.068.056;46.574.305;152.058.842;97.526.703;-3.650.551;93.876.153;0;0;0;0;0;54.360.126;14.136.561;17.336.037;381.410.079;0;381.410.079
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;03/2022;976.953;3.687.353;62.991.062;91.386.223;-4.065.069;87.321.154;12.965;1.396.212;476.348;-7.524;1.878.001;27.143.901;30.215.694;7.551.540;221.765.658;476.348;221.289.310
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;03/2022;244.086;24.328.936;55.896.345;13.635.424;-109.115;13.526.309;-95;20.128;663;-1.096;19.600;41.345.128;8.147.618;467.190;143.975.212;663;143.974.549
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;03/2022;104.003;8.946.814;38.030.299;57.513.397;-4.506.477;53.006.920;64;52.974;5.360;-368;58.030;16.798.246;2.300.420;3.165.434;122.410.166;5.360;122.404.806
XP;52120;b1;S3;C;2;RIO DE JANEIRO;RJ;03/2022;1.254.739;15.588.124;68.530.105;11.435.269;-11.937;11.423.332;0;0;0;0;0;11.964.370;3.881.807;636.370;113.278.847;0;113.278.847
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S3;I;2;PORTO ALEGRE;RS;03/2022;502.836;11.205.567;26.906.849;17.711.798;-21.621;17.690.177;0;0;0;0;0;6.824.705;46.651.148;161.938;109.943.220;0;109.943.220
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;03/2022;1.456.814;8.154.044;34.981.313;39.370.826;-2.484.359;36.886.467;105;39.398;26.163;-4.484;61.182;7.750.723;11.073.292;3.372.409;103.736.243;26.163;103.710.080
CIELO S.A.;1027058;n4;;I;2;BARUERI;SP;03/2022;20.031;7.148;6.839.768;0;0;0;0;0;0;0;0;3.362.728;80.502.225;9.081.791;99.813.690;0;99.813.690
REDECARD INSTITUIÇÃO DE PAGAMENTO S.A.;1425787;n4;S1;I;2;SAO PAULO;SP;03/2022;349.520;591.869;24.562.553;0;0;0;0;0;0;0;0;754.381;71.887.084;1.340.083;99.485.491;0;99.485.491
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;03/2022;61.871;33.018.891;34.227.691;2.802.293;-137.455;2.664.837;0;0;0;0;0;17.549.100;140.761;81.024;87.744.175;0;87.744.175
BANCO SICOOB;51750;b1;S3;C;2;BRASILIA;DF;03/2022;33.980;14.833.561;22.402.477;9.326.414;-158.277;9.168.137;0;0;0;0;0;8.672.291;28.426.211;479.730;84.016.387;0;84.016.387
BNP PARIBAS;51516;b1;S3;C;3;SAO PAULO;SP;03/2022;220.201;2.466.494;30.245.347;10.386.297;-565.548;9.820.748;0;0;0;0;0;36.075.270;235.780;264.835;79.328.676;0;79.328.676
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;I;1;FORTALEZA;CE;03/2022;140.075;12.145.753;31.238.273;14.580.159;-766.312;13.813.847;0;0;0;0;0;4.509.961;885.544;273.043;63.006.496;0;63.006.496
