Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;06/2021;145.015.301;184.239.294;2.892.113;484.936.750;137.794;928.642;818.149.895;270.518.352;6.299.049;10.424.306;33.466.968;59.029.578;18.405.470;127.625.372;82.919.800;1.299.213.419;87.595.170;336.619.231;1.723.427.819;3.015.672;146.477.263;1.872.920.755
BB;49906;b1;S1;C;1;BRASILIA;DF;06/2021;118.173.099;223.426.548;24.641.031;310.230.896;361.555;9.330.001;686.163.130;586.879.057;12.778.153;71.914.686;30.199;29.612.851;2.192;114.338.080;68.207.480;1.455.587.748;2.901.218;250.203.462;1.708.692.428;201.364;135.905.150;1.844.798.943
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;06/2021;48.705.010;371.409.069;114.774;181.587.155;0;11.753.243;613.569.251;205.840.963;28.006.946;6.352;1.601.789;2.584.156;0;32.199.242;351.042.188;1.202.651.644;1.989.042;171.989.264;1.376.629.950;9.828.875;73.905.265;1.460.364.090
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;06/2021;53.541.909;137.400.709;2.962.424;358.474.663;320.864;1.009.868;553.710.438;268.190.787;26.333.305;13.560.746;88.735.517;10.045.748;12.450.692;151.126.008;56.619.547;1.029.646.780;21.037.749;209.727.239;1.260.411.767;153.543;149.595.585;1.410.160.895
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;06/2021;41.969.814;64.748.382;4.616.757;289.139.868;0;476.025;400.950.847;127.003.452;24.859.889;14.526.041;20.719.320;35.720.844;5.130.518;100.956.612;78.884.721;707.795.631;31.986.214;139.508.840;879.290.686;409.929;81.698.021;961.398.635
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;06/2021;0;0;93.407;0;0;5.985.379;6.078.786;72.377.991;0;0;1.019.427;8.074.693;1.309.475;10.403.595;165.937.355;254.797.727;282.461;378.667.735;633.747.923;458;122.306.036;756.054.417
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;06/2021;7.908.954;0;2.757.632;92.366.063;0;389.043;103.421.691;64.418.452;2.141.611;6.927.948;34.055.679;13.941.591;386.214;57.453.043;6.072.756;231.365.942;36.038.976;49.816.055;317.220.973;258.617;36.620.229;354.099.819
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;06/2021;1.804.665;4.117.645;462.932;64.659.876;294.738;32;71.339.889;40.063.692;749.601;9.817.827;34.838.963;2.325.568;5.391.120;53.123.079;14.316.053;178.842.713;9.896.063;23.560.600;212.299.376;60.131;14.575.830;226.935.337
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;06/2021;588.390;0;2.023.105;21.065.726;0;0;23.677.220;20.833.412;392.213;1.417.435;25.256.283;7.982.076;5.605;35.053.611;4.197.928;83.762.171;4.175.711;19.275.043;107.212.925;108.108;11.671.151;118.992.184
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;06/2021;6.676.417;0;73.444;32.658.818;0;220.655;39.629.333;3.002.741;0;0;1.093.342;0;291.116;1.384.458;11.659.053;55.675.586;9.690.891;39.979.258;105.345.735;47.334;10.592.575;115.985.644
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;06/2021;3.864.417;11.416.564;123.404;46.279.546;4.931;11.375;61.700.237;8.821.824;825.880;0;1.183.959;0;0;2.009.839;3.318.305;75.850.205;174.239;12.984.089;89.008.533;158.703;8.653.084;97.820.320
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;06/2021;1.215.020;0;173.284;12.703.945;0;2.647.855;16.740.103;8.726.181;0;0;0;0;326.200;326.200;29.674.493;55.466.978;14.522.051;17.928.373;87.917.402;1.760;6.417.886;94.337.048
CIELO S.A.;1027058;n4;;I;2;BARUERI;SP;06/2021;0;0;0;0;210;0;210;0;0;0;0;0;0;0;6.933.374;6.933.584;7.138;66.095.542;73.036.264;0;9.807.283;82.843.547
XP;52120;b1;S3;C;2;RIO DE JANEIRO;RJ;06/2021;54.335;0;6.058;7.556.939;0;1.100.242;8.717.575;21.696.515;0;304;2.160.069;0;4.198.001;6.358.375;1.487.048;38.259.513;11.322.577;26.805.280;76.387.370;4.014;4.302.954;80.694.337
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S3;I;2;PORTO ALEGRE;RS;06/2021;89.205;24.954.822;7.570.283;4.673.956;0;0;37.288.266;7.524.878;0;3.998.843;1.762.190;0;0;5.761.034;15.682.575;66.256.754;126.776;6.163.368;72.546.898;0;1.833.063;74.379.961
BANCO SICOOB;51750;b1;S3;C;2;BRASILIA;DF;06/2021;156.379;10.697.021;38.033.254;1.742.350;0;0;50.629.004;3.629.437;0;36.540;0;0;0;36.540;3.528.130;57.823.111;89;11.158.936;68.982.136;252;2.124.212;71.106.600
